Accession	Organism	Kingdom	Sequence length	SP cleavage	transmembrane_term
P29595	Mus musculus	Metazoa	81	False	False
P30052	Drosophila melanogaster	Metazoa	440	False	False
P31311	Mus musculus	Metazoa	313	False	False
P32114	Mus musculus	Metazoa	414	False	False
P32115	Mus musculus	Metazoa	349	False	False
P32183	Rattus norvegicus	Metazoa	354	False	False
P32389	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	672	False	False
P32524	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	280	False	False
P32833	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	620	False	False
P32863	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	898	False	False
P32910	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	317	False	False
P33203	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	583	False	False
P33308	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	149	False	False
P33399	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	275	False	False
P33441	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	392	False	False
P34218	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	831	False	False
P34314	Caenorhabditis elegans	Metazoa	965	False	False
P35189	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	244	False	False
P35428	Mus musculus	Metazoa	282	False	False
P35582	Mus musculus	Metazoa	468	False	False
P35728	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	441	False	False
P38074	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	348	False	False
P38086	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	958	False	False
P38262	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	535	False	False
P38291	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	140	False	False
P38806	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	282	False	False
P38902	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	120	False	False
P39678	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	833	False	False
P39720	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1047	False	False
P39951	Rattus norvegicus	Metazoa	297	False	False
P40164	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	858	False	False
P40359	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	213	False	False
P40688	Drosophila melanogaster	Metazoa	548	False	False
P40957	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	749	False	False
P40993	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	198	False	False
P42284	Drosophila melanogaster	Metazoa	549	False	False
P43292	Arabidopsis thaliana	Viridiplantae	353	False	False
P43572	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	832	False	False
P43605	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	281	False	False
P43609	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	557	False	False
P46099	Mus musculus	Metazoa	358	False	False
P46678	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	594	False	False
P47027	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	764	False	False
P47239	Mus musculus	Metazoa	503	False	False
P47822	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	140	False	False
P47825	Drosophila melanogaster	Metazoa	921	False	False
P48007	Arabidopsis thaliana	Viridiplantae	208	False	False
P48512	Arabidopsis thaliana	Viridiplantae	312	False	False
P48987	Drosophila melanogaster	Metazoa	312	False	False
P49677	Arabidopsis thaliana	Viridiplantae	168	False	False
P49723	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	345	False	False
P52168	Drosophila melanogaster	Metazoa	540	False	False
P52172	Drosophila melanogaster	Metazoa	1264	False	False
P52654	Drosophila melanogaster	Metazoa	366	False	False
P53204	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	395	False	False
P53277	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	215	False	False
P53331	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	553	False	False
P53552	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1597	False	False
P53564	Mus musculus	Metazoa	1515	False	False
P53877	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	555	False	False
P53919	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	492	False	False
P53973	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	706	False	False
P54733	Drosophila melanogaster	Metazoa	709	False	False
P54842	Rattus norvegicus	Metazoa	323	False	False
P54843	Mus musculus	Metazoa	370	False	False
P54844	Rattus norvegicus	Metazoa	369	False	False
P56222	Rattus norvegicus	Metazoa	445	False	False
P62996	Mus musculus	Metazoa	288	False	False
P63006	Mus musculus	Metazoa	406	False	False
P63059	Rattus norvegicus	Metazoa	492	False	False
P63139	Mus musculus	Metazoa	207	False	False
P70365	Mus musculus	Metazoa	1447	False	False
P70512	Rattus norvegicus	Metazoa	465	False	False
P81269	Mus musculus	Metazoa	269	False	False
P91943	Drosophila melanogaster	Metazoa	751	False	False
P92973	Arabidopsis thaliana	Viridiplantae	608	False	False
P93022	Arabidopsis thaliana	Viridiplantae	1164	False	False
P97343	Mus musculus	Metazoa	419	False	False
Q00566	Rattus norvegicus	Metazoa	492	False	False
Q00816	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1014	False	False
Q00900	Rattus norvegicus	Metazoa	2437	False	False
Q01853	Mus musculus	Metazoa	806	False	False
Q02336	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	434	False	False
Q02775	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	382	False	False
Q02780	Mus musculus	Metazoa	532	False	False
Q03061	Rattus norvegicus	Metazoa	357	False	False
Q03063	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	452	False	False
Q03067	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	99	False	False
Q03388	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	795	False	False
Q03406	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	294	False	False
Q04149	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	632	False	False
Q04226	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	346	False	False
Q04264	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1277	False	False
Q04752	Bos taurus	Metazoa	461	False	False
Q05949	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	395	False	False
Q06103	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	429	False	False
Q06168	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	426	False	False
Q06213	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	157	False	False
Q06224	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	779	False	False
Q07478	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	446	False	False
Q08024	Mus musculus	Metazoa	187	False	False
Q08032	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	650	False	False
Q08214	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	380	False	False
Q08278	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	222	False	False
Q08746	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	203	False	False
Q08773	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1120	False	False
Q09228	Caenorhabditis elegans	Metazoa	1129	False	False
Q09309	Caenorhabditis elegans	Metazoa	454	False	False
Q09961	Caenorhabditis elegans	Metazoa	148	False	False
Q0J0G7	Oryza sativa subsp. japonica	Viridiplantae	282	False	False
Q10B19	Oryza sativa subsp. japonica	Viridiplantae	250	False	False
Q12009	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	286	False	False
Q12030	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	206	False	False
Q17446	Caenorhabditis elegans	Metazoa	377	False	False
Q19537	Caenorhabditis elegans	Metazoa	655	False	False
Q19849	Caenorhabditis elegans	Metazoa	486	False	False
Q1RNF8	Mus musculus	Metazoa	542	False	False
Q20709	Caenorhabditis elegans	Metazoa	543	False	False
Q22717	Caenorhabditis elegans	Metazoa	170	False	False
Q22795	Caenorhabditis elegans	Metazoa	242	False	False
Q24119	Drosophila melanogaster	Metazoa	1022	False	False
Q24325	Drosophila melanogaster	Metazoa	1221	False	False
Q24338	Drosophila melanogaster	Metazoa	425	False	False
Q24368	Drosophila melanogaster	Metazoa	1027	False	False
Q24472	Drosophila melanogaster	Metazoa	845	False	False
Q24JK1	Arabidopsis thaliana	Viridiplantae	352	False	False
Q27511	Caenorhabditis elegans	Metazoa	140	False	False
Q27934	Drosophila melanogaster	Metazoa	400	False	False
Q27GK7	Arabidopsis thaliana	Viridiplantae	1135	False	False
Q2TB02	Mus musculus	Metazoa	327	False	False
Q336N8	Oryza sativa subsp. japonica	Viridiplantae	858	False	False
Q39204	Arabidopsis thaliana	Viridiplantae	623	False	False
Q39237	Arabidopsis thaliana	Viridiplantae	368	False	False
Q3UMU9	Mus musculus	Metazoa	669	False	False
Q4QQW4	Rattus norvegicus	Metazoa	482	False	False
Q58FA4	Mus musculus	Metazoa	860	False	False
Q5EG47	Mus musculus	Metazoa	559	False	False
Q5IBH7	Mus musculus	Metazoa	310	False	False
Q5SUE7	Mus musculus	Metazoa	619	False	False
Q5VNK1	Oryza sativa subsp. japonica	Viridiplantae	333	False	False
Q5XVF0	Arabidopsis thaliana	Viridiplantae	666	False	False
Q5XVG3	Arabidopsis thaliana	Viridiplantae	287	False	False
Q5Z8R1	Oryza sativa subsp. japonica	Viridiplantae	455	False	False
Q60641	Mus musculus	Metazoa	488	False	False
Q60929	Mus musculus	Metazoa	498	False	False
Q60973	Mus musculus	Metazoa	425	False	False
Q61473	Mus musculus	Metazoa	419	False	False
Q62318	Mus musculus	Metazoa	834	False	False
Q62407	Mus musculus	Metazoa	3262	False	False
Q63801	Rattus norvegicus	Metazoa	678	False	False
Q6DGH9	Danio rerio	Metazoa	315	False	False
Q6EVK6	Arabidopsis thaliana	Viridiplantae	2193	False	False
Q6IDA6	Arabidopsis thaliana	Viridiplantae	162	False	False
Q6K271	Oryza sativa subsp. japonica	Viridiplantae	738	False	False
Q6K5X1	Oryza sativa subsp. japonica	Viridiplantae	248	False	False
Q6NXH3	Mus musculus	Metazoa	473	False	False
Q6P6J4	Mus musculus	Metazoa	239	False	False
Q6Q151	Arabidopsis thaliana	Viridiplantae	506	False	False
Q6QHD1	Oryza sativa subsp. japonica	Viridiplantae	348	False	False
Q6RI63	Mus musculus	Metazoa	786	False	False
Q6S591	Arabidopsis thaliana	Viridiplantae	253	False	False
Q708Y0	Arabidopsis thaliana	Viridiplantae	623	False	False
Q7KMJ6	Drosophila melanogaster	Metazoa	793	False	False
Q7TSH3	Mus musculus	Metazoa	1157	False	False
Q7X8R0	Oryza sativa subsp. japonica	Viridiplantae	464	False	False
Q804Q5	Danio rerio	Metazoa	430	False	False
Q80UP3	Mus musculus	Metazoa	929	False	False
Q84JG2	Arabidopsis thaliana	Viridiplantae	469	False	False
Q84V03	Arabidopsis thaliana	Viridiplantae	778	False	False
Q8BGD7	Mus musculus	Metazoa	802	False	False
Q8BGW1	Mus musculus	Metazoa	502	False	False
Q8BLB7	Mus musculus	Metazoa	883	False	False
Q8BWM0	Mus musculus	Metazoa	384	False	True
Q8BZ97	Mus musculus	Metazoa	688	False	False
Q8C5W4	Mus musculus	Metazoa	1022	False	False
Q8C8B0	Mus musculus	Metazoa	326	False	False
Q8CGN4	Mus musculus	Metazoa	1759	False	False
Q8CHP0	Mus musculus	Metazoa	950	False	False
Q8CIG3	Mus musculus	Metazoa	826	False	False
Q8CIG8	Mus musculus	Metazoa	637	False	False
Q8GYC1	Arabidopsis thaliana	Viridiplantae	516	False	False
Q8H136	Arabidopsis thaliana	Viridiplantae	619	False	False
Q8I8V0	Drosophila melanogaster	Metazoa	555	False	False
Q8IRW8	Drosophila melanogaster	Metazoa	2431	False	False
Q8K203	Mus musculus	Metazoa	606	False	False
Q8K3Q3	Mus musculus	Metazoa	521	False	False
Q8L765	Arabidopsis thaliana	Viridiplantae	407	False	False
Q8L8T7	Arabidopsis thaliana	Viridiplantae	246	False	False
Q8L983	Arabidopsis thaliana	Viridiplantae	218	False	False
Q8L9Y3	Arabidopsis thaliana	Viridiplantae	382	False	False
Q8LA16	Arabidopsis thaliana	Viridiplantae	252	False	False
Q8LA53	Arabidopsis thaliana	Viridiplantae	272	False	False
Q8LBM2	Arabidopsis thaliana	Viridiplantae	131	False	False
Q8LC79	Arabidopsis thaliana	Viridiplantae	295	False	False
Q8LF89	Arabidopsis thaliana	Viridiplantae	140	False	False
Q8LGU6	Arabidopsis thaliana	Viridiplantae	744	False	False
Q8LL04	Arabidopsis thaliana	Viridiplantae	1241	False	False
Q8LPQ9	Arabidopsis thaliana	Viridiplantae	901	False	False
Q8LSZ4	Arabidopsis thaliana	Viridiplantae	403	False	False
Q8MSU4	Drosophila melanogaster	Metazoa	1165	False	False
Q8R0W1	Mus musculus	Metazoa	432	False	False
Q8R316	Mus musculus	Metazoa	516	False	False
Q8R331	Mus musculus	Metazoa	154	False	False
Q8RYC8	Arabidopsis thaliana	Viridiplantae	1086	False	False
Q8VDF2	Mus musculus	Metazoa	782	False	False
Q8VEH6	Mus musculus	Metazoa	393	False	False
Q8VII8	Mus musculus	Metazoa	978	False	False
Q8VZS9	Arabidopsis thaliana	Viridiplantae	475	False	False
Q8W4L5	Arabidopsis thaliana	Viridiplantae	790	False	False
Q91WC0	Mus musculus	Metazoa	594	False	False
Q921D9	Mus musculus	Metazoa	618	False	False
Q925F4	Mus musculus	Metazoa	539	False	False
Q925J9	Mus musculus	Metazoa	1575	False	False
Q93ZE2	Arabidopsis thaliana	Viridiplantae	368	False	False
Q93ZG9	Arabidopsis thaliana	Viridiplantae	477	False	False
Q940H6	Arabidopsis thaliana	Viridiplantae	362	False	False
Q94A57	Arabidopsis thaliana	Viridiplantae	295	False	False
Q94BR4	Arabidopsis thaliana	Viridiplantae	523	False	False
Q960X4	Drosophila melanogaster	Metazoa	541	False	False
Q96288	Arabidopsis thaliana	Viridiplantae	248	False	False
Q965H3	Caenorhabditis elegans	Metazoa	735	False	False
Q99314	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	248	False	False
Q99J95	Mus musculus	Metazoa	372	False	False
Q99KK2	Mus musculus	Metazoa	432	False	False
Q99N57	Mus musculus	Metazoa	648	False	False
Q9C519	Arabidopsis thaliana	Viridiplantae	553	False	False
Q9C5Q2	Arabidopsis thaliana	Viridiplantae	262	False	False
Q9C8J7	Arabidopsis thaliana	Viridiplantae	509	False	False
Q9C8W9	Arabidopsis thaliana	Viridiplantae	324	False	False
Q9C9X7	Arabidopsis thaliana	Viridiplantae	419	False	False
Q9CQF3	Mus musculus	Metazoa	227	False	False
Q9CXG9	Mus musculus	Metazoa	578	False	False
Q9D219	Mus musculus	Metazoa	1425	False	False
Q9ESP5	Mus musculus	Metazoa	455	False	False
Q9FHZ1	Arabidopsis thaliana	Viridiplantae	405	False	False
Q9FJ00	Arabidopsis thaliana	Viridiplantae	307	False	False
Q9FJL0	Arabidopsis thaliana	Viridiplantae	1241	False	False
Q9FK47	Arabidopsis thaliana	Viridiplantae	402	False	False
Q9FL26	Arabidopsis thaliana	Viridiplantae	326	False	False
Q9FNN3	Arabidopsis thaliana	Viridiplantae	908	False	False
Q9FTA2	Arabidopsis thaliana	Viridiplantae	239	False	False
Q9FX31	Arabidopsis thaliana	Viridiplantae	722	False	False
Q9I9E1	Danio rerio	Metazoa	472	False	False
Q9JLR5	Mus musculus	Metazoa	209	False	False
Q9JMB1	Mus musculus	Metazoa	375	False	False
Q9JMJ4	Rattus norvegicus	Metazoa	504	False	False
Q9LES2	Arabidopsis thaliana	Viridiplantae	478	False	False
Q9LMA8	Arabidopsis thaliana	Viridiplantae	253	False	False
Q9LMT2	Arabidopsis thaliana	Viridiplantae	713	False	False
Q9LQZ7	Arabidopsis thaliana	Viridiplantae	331	False	False
Q9LS24	Arabidopsis thaliana	Viridiplantae	292	False	False
Q9LSE2	Arabidopsis thaliana	Viridiplantae	494	False	False
Q9LT47	Arabidopsis thaliana	Viridiplantae	369	False	False
Q9LYD9	Arabidopsis thaliana	Viridiplantae	1096	False	False
Q9LZ78	Arabidopsis thaliana	Viridiplantae	127	False	False
Q9M384	Arabidopsis thaliana	Viridiplantae	653	False	False
Q9M4A2	Arabidopsis thaliana	Viridiplantae	362	False	False
Q9M9X4	Arabidopsis thaliana	Viridiplantae	295	False	False
Q9M9Y4	Arabidopsis thaliana	Viridiplantae	421	False	False
Q9MA17	Arabidopsis thaliana	Viridiplantae	371	False	False
Q9QXZ7	Mus musculus	Metazoa	395	False	False
Q9QY02	Rattus norvegicus	Metazoa	738	False	False
Q9QYH6	Mus musculus	Metazoa	775	False	False
Q9R1C0	Mus musculus	Metazoa	341	False	False
Q9R210	Mus musculus	Metazoa	475	False	False
Q9R226	Mus musculus	Metazoa	346	False	False
Q9SCQ6	Arabidopsis thaliana	Viridiplantae	452	False	False
Q9SDW0	Arabidopsis thaliana	Viridiplantae	323	False	False
Q9SFV2	Arabidopsis thaliana	Viridiplantae	320	False	False
Q9SG86	Arabidopsis thaliana	Viridiplantae	675	False	False
Q9SGU3	Arabidopsis thaliana	Viridiplantae	296	False	False
Q9SJH0	Arabidopsis thaliana	Viridiplantae	118	False	False
Q9SJT1	Arabidopsis thaliana	Viridiplantae	700	False	False
Q9SKN5	Arabidopsis thaliana	Viridiplantae	693	False	False
Q9SKX1	Arabidopsis thaliana	Viridiplantae	156	False	False
Q9SLB7	Arabidopsis thaliana	Viridiplantae	245	False	False
Q9SN78	Arabidopsis thaliana	Viridiplantae	333	False	False
Q9SPG2	Arabidopsis thaliana	Viridiplantae	366	False	False
Q9SSE9	Arabidopsis thaliana	Viridiplantae	1027	False	False
Q9SWA6	Arabidopsis thaliana	Viridiplantae	432	False	False
Q9SZI6	Arabidopsis thaliana	Viridiplantae	352	False	False
Q9SZR3	Arabidopsis thaliana	Viridiplantae	1017	False	False
Q9U3C8	Caenorhabditis elegans	Metazoa	295	False	False
Q9U405	Drosophila melanogaster	Metazoa	570	False	False
Q9U7C9	Dictyostelium discoideum	Amoebozoa	756	False	False
Q9V3J8	Drosophila melanogaster	Metazoa	361	False	False
Q9V3V0	Drosophila melanogaster	Metazoa	258	False	False
Q9V5M6	Drosophila melanogaster	Metazoa	963	False	False
Q9VDY1	Drosophila melanogaster	Metazoa	1638	False	False
Q9VE86	Drosophila melanogaster	Metazoa	353	False	False
Q9VEX9	Drosophila melanogaster	Metazoa	150	False	False
Q9VQ30	Drosophila melanogaster	Metazoa	604	False	False
Q9VRJ0	Drosophila melanogaster	Metazoa	726	False	False
Q9VX31	Drosophila melanogaster	Metazoa	1105	False	False
Q9W420	Drosophila melanogaster	Metazoa	1831	False	False
Q9WUF3	Mus musculus	Metazoa	1962	False	False
Q9XW26	Caenorhabditis elegans	Metazoa	412	False	False
Q9R080	Rattus norvegicus	Metazoa	673	False	False
Q93WC9	Arabidopsis thaliana	Viridiplantae	336	False	False
P27140	Arabidopsis thaliana	Viridiplantae	347	False	False
Q9FKF4	Arabidopsis thaliana	Viridiplantae	307	False	False
Q6IR34	Mus musculus	Metazoa	673	False	False
Q63035	Rattus norvegicus	Metazoa	881	False	False
O48814	Arabidopsis thaliana	Viridiplantae	395	False	False
Q4VC33	Mus musculus	Metazoa	396	False	False
Q60902	Mus musculus	Metazoa	907	False	False
Q9JHE3	Mus musculus	Metazoa	756	False	False
E3Q1H1	Trypanosoma brucei brucei	Discoba	147	False	False
O15648	Trypanosoma brucei brucei	Discoba	487	False	False
Q39659	Cucumis sativus	Viridiplantae	725	False	False
Q08959	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	321	False	False
Q01401	Oryza sativa subsp. japonica	Viridiplantae	820	False	False
Q6P6U0	Rattus norvegicus	Metazoa	517	False	False
O49447	Arabidopsis thaliana	Viridiplantae	379	False	False
P00830	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	511	False	False
P03925	Mus musculus	Metazoa	172	False	True
P04166	Rattus norvegicus	Metazoa	146	False	False
P21571	Rattus norvegicus	Metazoa	108	False	False
P42026	Bos taurus	Metazoa	216	False	False
P52503	Mus musculus	Metazoa	116	False	False
P53311	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	146	False	True
P53969	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	484	False	False
P56522	Rattus norvegicus	Metazoa	494	False	False
P81449	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	96	False	False
P97564	Rattus norvegicus	Metazoa	828	False	False
Q12106	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	302	False	False
Q64521	Mus musculus	Metazoa	727	False	False
Q6QBQ4	Rattus norvegicus	Metazoa	296	False	False
Q791V5	Mus musculus	Metazoa	303	False	False
Q7YU24	Drosophila melanogaster	Metazoa	810	False	False
Q8C1Q6	Mus musculus	Metazoa	80	False	True
Q8C5Y2	Mus musculus	Metazoa	53	False	True
Q94JS0	Arabidopsis thaliana	Viridiplantae	272	False	False
Q9CR58	Mus musculus	Metazoa	291	False	False
Q9D8H7	Mus musculus	Metazoa	521	False	False
Q9LYR2	Arabidopsis thaliana	Viridiplantae	274	False	False
Q9XI46	Arabidopsis thaliana	Viridiplantae	159	False	True
Q9Z2I0	Mus musculus	Metazoa	738	False	False
Q9Z2L0	Rattus norvegicus	Metazoa	283	False	False
Q9ZR03	Arabidopsis thaliana	Viridiplantae	229	False	True
Q9ZU25	Arabidopsis thaliana	Viridiplantae	503	False	False
D3ZI76	Rattus norvegicus	Metazoa	801	False	False
O35147	Rattus norvegicus	Metazoa	205	False	False
P03902	Bos taurus	Metazoa	98	False	True
P04394	Bos taurus	Metazoa	249	False	False
P04840	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	283	False	False
P14137	Rattus norvegicus	Metazoa	526	False	False
P17694	Bos taurus	Metazoa	463	False	False
P31167	Arabidopsis thaliana	Viridiplantae	381	False	False
P32891	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	587	False	False
P36163	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	345	False	True
P38169	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	460	False	False
P38626	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	284	False	True
P53157	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	130	False	True
Q02888	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	182	False	False
Q08179	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	573	False	False
Q09969	Caenorhabditis elegans	Metazoa	221	False	False
Q2TA68	Rattus norvegicus	Metazoa	960	False	False
Q3ULF4	Mus musculus	Metazoa	781	False	False
Q42290	Arabidopsis thaliana	Viridiplantae	531	False	False
Q54LT0	Dictyostelium discoideum	Amoebozoa	275	False	False
Q5XJY4	Mus musculus	Metazoa	377	False	False
Q8BSK8	Mus musculus	Metazoa	525	False	False
Q8GUK1	Arabidopsis thaliana	Viridiplantae	602	False	False
Q8JZQ2	Mus musculus	Metazoa	802	False	False
Q8JZU2	Mus musculus	Metazoa	311	False	False
Q920A7	Mus musculus	Metazoa	789	False	False
Q93YW7	Arabidopsis thaliana	Viridiplantae	341	False	False
Q94920	Drosophila melanogaster	Metazoa	282	False	False
Q99LR1	Mus musculus	Metazoa	398	False	True
Q9C664	Arabidopsis thaliana	Viridiplantae	674	False	False
Q9CZP5	Mus musculus	Metazoa	418	False	True
Q9SP35	Arabidopsis thaliana	Viridiplantae	243	False	True
Q9VFJ3	Drosophila melanogaster	Metazoa	422	False	True
Q0DEV5	Oryza sativa subsp. japonica	Viridiplantae	609	False	False
Q337M4	Oryza sativa subsp. japonica	Viridiplantae	364	False	False
P35991	Mus musculus	Metazoa	659	False	False
Q22146	Caenorhabditis elegans	Metazoa	390	False	False
Q8VHQ2	Mus musculus	Metazoa	579	False	False
Q9LEZ1	Arabidopsis thaliana	Viridiplantae	144	False	False
Q9FLT9	Arabidopsis thaliana	Viridiplantae	259	False	True
P21279	Mus musculus	Metazoa	359	False	False
P61023	Rattus norvegicus	Metazoa	195	False	False
Q8K4V4	Rattus norvegicus	Metazoa	539	False	False
P97350	Mus musculus	Metazoa	728	False	False
Q6B9X6	Dictyostelium discoideum	Amoebozoa	625	False	False
Q8K337	Mus musculus	Metazoa	993	False	False
F4JHH5	Arabidopsis thaliana	Viridiplantae	787	False	False
Q93YU5	Arabidopsis thaliana	Viridiplantae	1053	False	False
B5DFG1	Rattus norvegicus	Metazoa	580	False	False
P03887	Bos taurus	Metazoa	318	False	True
P03920	Bos taurus	Metazoa	606	False	True
P07251	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	545	False	False
P12242	Mus musculus	Metazoa	307	False	False
P29147	Rattus norvegicus	Metazoa	343	False	False
P38127	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	377	False	False
P39925	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	761	False	False
P42028	Bos taurus	Metazoa	212	False	False
Q810S1	Mus musculus	Metazoa	345	False	False
Q811U4	Mus musculus	Metazoa	741	False	False
Q8BL03	Mus musculus	Metazoa	306	False	False
Q8BT35	Mus musculus	Metazoa	56	False	True
Q9C9B9	Arabidopsis thaliana	Viridiplantae	643	False	False
Q9DB10	Mus musculus	Metazoa	107	False	True
Q9JI39	Mus musculus	Metazoa	715	False	False
Q9LY28	Arabidopsis thaliana	Viridiplantae	479	False	False
Q9SS48	Arabidopsis thaliana	Viridiplantae	629	False	False
Q9WVJ4	Rattus norvegicus	Metazoa	145	False	False
Q0DDE3	Oryza sativa subsp. japonica	Viridiplantae	810	False	False
Q0DEC8	Oryza sativa subsp. japonica	Viridiplantae	641	False	False
O54902	Rattus norvegicus	Metazoa	568	False	True
P03892	Bos taurus	Metazoa	347	False	True
P03898	Bos taurus	Metazoa	115	False	True
P03910	Bos taurus	Metazoa	459	False	True
P14693	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	329	False	False
P15690	Bos taurus	Metazoa	727	False	False
P30902	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	174	False	False
P32089	Rattus norvegicus	Metazoa	311	False	False
P40086	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	486	False	False
P40941	Arabidopsis thaliana	Viridiplantae	385	False	False
P42792	Arabidopsis thaliana	Viridiplantae	393	False	True
P56501	Mus musculus	Metazoa	308	False	False
P67779	Rattus norvegicus	Metazoa	272	False	False
P91928	Drosophila melanogaster	Metazoa	739	False	True
Q12349	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	124	False	False
Q3KRE0	Rattus norvegicus	Metazoa	591	False	False
Q3UN04	Mus musculus	Metazoa	517	False	True
Q63147	Rattus norvegicus	Metazoa	587	False	False
Q66GT5	Mus musculus	Metazoa	193	False	False
Q6UPE1	Rattus norvegicus	Metazoa	616	False	False
Q99MQ3	Mus musculus	Metazoa	580	False	False
