Accession	Organism	Kingdom	Sequence length	SP cleavage	transmembrane_term
P00773	Rattus norvegicus	Metazoa	266	16	Null
P01048	Rattus norvegicus	Metazoa	430	18	Null
P01180	Bos taurus	Metazoa	166	19	Null
P01317	Bos taurus	Metazoa	105	24	Null
P01830	Rattus norvegicus	Metazoa	161	19	Null
P01831	Mus musculus	Metazoa	162	19	Null
P01888	Bos taurus	Metazoa	118	20	Null
P01901	Mus musculus	Metazoa	369	21	Null
P04639	Rattus norvegicus	Metazoa	259	18	Null
P04785	Rattus norvegicus	Metazoa	509	19	Null
P06281	Mus musculus	Metazoa	402	21	Null
P07151	Rattus norvegicus	Metazoa	119	20	Null
P07214	Mus musculus	Metazoa	302	17	Null
P07456	Bos taurus	Metazoa	179	24	Null
P07808	Rattus norvegicus	Metazoa	98	29	Null
P08904	Bos taurus	Metazoa	154	27	Null
P09655	Rattus norvegicus	Metazoa	79	18	Null
P10761	Mus musculus	Metazoa	424	22	Null
P10959	Rattus norvegicus	Metazoa	549	18	Null
P11151	Bos taurus	Metazoa	478	28	Null
P11438	Mus musculus	Metazoa	406	24	Null
P11654	Rattus norvegicus	Metazoa	1886	25	Null
P11911	Mus musculus	Metazoa	220	28	Null
P15247	Mus musculus	Metazoa	144	18	Null
P15261	Mus musculus	Metazoa	477	25	Null
P15589	Rattus norvegicus	Metazoa	577	19	Null
P21743	Rattus norvegicus	Metazoa	272	25	Null
P22388	Rattus norvegicus	Metazoa	202	25	Null
P24063	Mus musculus	Metazoa	1162	23	Null
P24807	Mus musculus	Metazoa	76	26	Null
P27773	Mus musculus	Metazoa	505	24	Null
P28088	Bos taurus	Metazoa	441	26	Null
P29288	Rattus norvegicus	Metazoa	327	22	Null
P31211	Rattus norvegicus	Metazoa	396	22	Null
P31809	Mus musculus	Metazoa	521	34	Null
P31836	Bos taurus	Metazoa	853	19	Null
P33487	Arabidopsis thaliana	Viridiplantae	198	33	Null
P35859	Rattus norvegicus	Metazoa	603	23	Null
P49259	Bos taurus	Metazoa	1463	20	Null
P50228	Mus musculus	Metazoa	132	40	Null
P55203	Bos taurus	Metazoa	1110	56	Null
P60042	Rattus norvegicus	Metazoa	116	24	Null
P61312	Rattus norvegicus	Metazoa	146	25	Null
P80746	Bos taurus	Metazoa	1048	30	Null
P81160	Drosophila melanogaster	Metazoa	54	21	Null
P83869	Drosophila melanogaster	Metazoa	46	22	Null
P97710	Rattus norvegicus	Metazoa	509	31	Null
Q00657	Rattus norvegicus	Metazoa	2326	29	Null
Q02795	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	286	19	Null
Q03178	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	341	18	Null
Q09098	Mus musculus	Metazoa	99	23	Null
Q23997	Drosophila melanogaster	Metazoa	452	18	Null
Q3Y5Z3	Bos taurus	Metazoa	240	17	Null
Q4V4I9	Drosophila melanogaster	Metazoa	182	22	Null
Q62598	Rattus norvegicus	Metazoa	687	17	Null
Q63345	Rattus norvegicus	Metazoa	245	27	Null
Q63372	Rattus norvegicus	Metazoa	1530	30	Null
Q63415	Rattus norvegicus	Metazoa	937	45	Null
Q64550	Rattus norvegicus	Metazoa	535	29	Null
Q76BW5	Oryza sativa subsp. japonica	Viridiplantae	290	25	Null
Q7YSJ4	Dictyostelium discoideum	Amoebozoa	708	19	Null
Q86IV5	Dictyostelium discoideum	Amoebozoa	258	21	Null
Q8WML4	Bos taurus	Metazoa	580	22	Null
Q91XA9	Mus musculus	Metazoa	473	21	Null
Q949Y3	Arabidopsis thaliana	Viridiplantae	475	30	Null
Q95M17	Bos taurus	Metazoa	472	21	Null
Q99MA2	Rattus norvegicus	Metazoa	674	22	Null
Q9JI59	Mus musculus	Metazoa	298	28	Null
Q9JJS8	Rattus norvegicus	Metazoa	685	19	Null
Q9R100	Mus musculus	Metazoa	827	25	Null
Q9SUQ8	Arabidopsis thaliana	Viridiplantae	187	29	Null
Q9V496	Drosophila melanogaster	Metazoa	3351	25	Null
Q9VA83	Drosophila melanogaster	Metazoa	227	19	Null
Q9VG55	Drosophila melanogaster	Metazoa	191	24	Null
Q9VH14	Drosophila melanogaster	Metazoa	210	27	Null
Q9VMD9	Drosophila melanogaster	Metazoa	2188	18	Null
Q9WVJ9	Mus musculus	Metazoa	443	27	Null
Q9Z0L3	Mus musculus	Metazoa	485	17	Null
Q9ZWA9	Arabidopsis thaliana	Viridiplantae	451	25	Null
A0A7J6K7I9	Toxoplasma gondii	Sar	553	64	Null
A2VBC4	Polybia paulista	Metazoa	322	18	Null
A8CG82	Daboia siamensis	Metazoa	138	16	Null
A8CG86	Daboia russelii	Metazoa	138	16	Null
C7G3K3	Liocheles australasiae	Metazoa	80	21	Null
D3GDK4	Cryptopygus antarcticus	Metazoa	225	15	Null
O00092	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293)	Fungi	465	26	Null
O00100	Aspergillus terreus	Fungi	466	19	Null
O61705	Olivierus martensii	Metazoa	84	19	Null
O64411	Zea mays	Viridiplantae	500	28	Null
O93364	Crotalus adamanteus	Metazoa	516	18	Null
O97939	Sus scrofa	Metazoa	1142	38	Null
P00592	Sus scrofa	Metazoa	146	15	Null
P00623	Crotalus adamanteus	Metazoa	138	16	Null
P00625	Ovophis okinavensis	Metazoa	139	16	Null
P00626	Vipera ammodytes ammodytes	Metazoa	138	16	Null
P00701	Coturnix japonica	Metazoa	147	18	Null
P00702	Phasianus colchicus colchicus	Metazoa	147	17	Null
P00712	Capra hircus	Metazoa	142	19	Null
P00772	Sus scrofa	Metazoa	266	16	Null
P01083	Triticum aestivum	Viridiplantae	153	30	Null
P01240	Ovis aries	Metazoa	229	30	Null
P01269	Sus scrofa	Metazoa	115	25	Null
P01315	Sus scrofa	Metazoa	108	24	Null
P01484	Androctonus australis	Metazoa	85	19	Null
P02670	Capra hircus	Metazoa	192	21	Null
P02779	Oryctolagus cuniculus	Metazoa	91	21	Null
P06867	Sus scrofa	Metazoa	809	19	Null
P07981	Hypocrea jecorina	Fungi	459	22	Null
P08751	Equus caballus	Metazoa	169	20	Null
P09102	Gallus gallus	Metazoa	515	22	Null
P09479	Gallus gallus	Metazoa	456	20	Null
P0C1B3	Aspergillus oryzae (strain ATCC 42149 / RIB 40)	Fungi	499	21	Null
P0C8G7	Pomacea canaliculata	Metazoa	286	30	Null
P0CAR9	Cerastes cerastes	Metazoa	137	16	Null
P0CAS0	Cerastes cerastes	Metazoa	136	16	Null
P0CC17	Bothrops atrox	Metazoa	506	18	Null
P0CS93	Gibberella zeae	Fungi	680	24	Null
P0DJN6	Crotalus horridus	Metazoa	138	16	Null
P0DUJ5	Pterois volitans	Metazoa	66	22	Null
P14424	Vipera ammodytes ammodytes	Metazoa	138	16	Null
P17454	Oryctolagus cuniculus	Metazoa	482	26	Null
P17935	Vipera ammodytes ammodytes	Metazoa	138	16	Null
P19874	Oryctolagus cuniculus	Metazoa	101	22	Null
P21611	Gallus gallus	Metazoa	119	21	Null
P21760	Gallus gallus	Metazoa	178	20	Null
P22412	Sus scrofa	Metazoa	409	16	Null
P22458	Oryctolagus cuniculus	Metazoa	475	19	Null
P23807	Protobothrops flavoviridis	Metazoa	146	23	Null
P24021	Aspergillus oryzae (strain ATCC 42149 / RIB 40)	Fungi	287	20	Null
P24027	Crotalus durissus terrificus	Metazoa	138	16	Null
P24091	Nicotiana tabacum	Viridiplantae	324	23	Null
P24259	Sus scrofa	Metazoa	150	24	Null
P26894	Sus scrofa	Metazoa	103	25	Null
P31346	Sus scrofa	Metazoa	147	24	Null
P31347	Oryctolagus cuniculus	Metazoa	149	24	Null
P32760	Gallus gallus	Metazoa	165	30	Null
P33183	Sambucus nigra	Viridiplantae	563	25	Null
P34095	Entamoeba histolytica (strain ATCC 30459 / HM-1:IMSS / ABRM)	Amoebozoa	98	21	Null
P35495	Sus scrofa	Metazoa	133	24	Null
P37042	Gallus gallus	Metazoa	92	23	Null
P42292	Gallus gallus	Metazoa	588	33	Null
P45881	Bothrops jararacussu	Metazoa	138	16	Null
P48819	Sus scrofa	Metazoa	459	19	Null
P58738	Zea mays	Viridiplantae	269	24	Null
P60770	Naja atra	Metazoa	83	21	Null
P62694	Hypocrea jecorina	Fungi	513	17	Null
P67970	Gallus gallus	Metazoa	107	24	Null
P81702	Ceratocystis fimbriata f. sp. platani	Fungi	134	14	Null
P82114	Bothrops moojeni	Metazoa	138	16	Null
P82290	Anopheles gambiae	Metazoa	58	23	Null
P83886	Allium sativum	Viridiplantae	181	30	Null
P84810	Buthus occitanus tunetanus	Metazoa	91	22	Null
Q02567	Phanerodontia chrysosporium	Fungi	378	21	Null
Q09131	Glycine max	Viridiplantae	464	30	Null
Q09140	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1448	18	Null
Q17060	Apis mellifera	Metazoa	544	20	Null
Q2HZ28	Bothrops erythromelas	Metazoa	138	16	Null
Q2PWA3	Protobothrops mucrosquamatus	Metazoa	138	16	Null
Q2VG86	Bombyx mori	Metazoa	369	24	Null
Q2YHJ2	Craspedocephalus borneensis	Metazoa	138	16	Null
Q41358	Sambucus nigra	Viridiplantae	570	28	Null
Q4W1I8	Zinnia elegans	Viridiplantae	321	30	Null
Q4WBS1	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293)	Fungi	438	17	Null
Q53B58	Ophiophagus hannah	Metazoa	93	21	Null
Q59Y31	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	533	21	Null
Q60557	Mesocricetus auratus	Metazoa	671	21	Null
Q64424	Myocastor coypus	Metazoa	470	18	Null
Q6EH50	Phytolacca heterotepala	Viridiplantae	312	22	Null
Q6PW77	Sarocladium strictum	Fungi	499	25	Null
Q71QE8	Crotalus viridis viridis	Metazoa	138	16	Null
Q7SZN0	Pseudonaja textilis	Metazoa	1460	30	Null
Q84UV8	Nicotiana langsdorffii x Nicotiana sanderae	Viridiplantae	274	25	Null
Q86LE5	Rhipicephalus microplus	Metazoa	110	20	Null
Q8QGR0	Dendroaspis angusticeps	Metazoa	86	21	Null
Q8X150	Gaeumannomyces tritici	Fungi	618	16	Null
Q90611	Gallus gallus	Metazoa	663	26	Null
Q966V2	Halocynthia roretzi	Metazoa	388	22	Null
Q9LRC8	Scutellaria baicalensis	Viridiplantae	527	25	Null
Q9M653	Polygonatum multiflorum	Viridiplantae	603	39	Null
Q9M6E9	Abrus precatorius	Viridiplantae	547	20	Null
Q9TVX3	Olivierus martensii	Metazoa	61	28	Null
Q9U8W8	Tachypleus tridentatus	Metazoa	292	23	Null
Q9YGP1	Trimeresurus stejnegeri	Metazoa	158	23	Null
U6BLZ9	Penicillium canescens	Fungi	463	26	Null
A0A0D1DWQ2	Mycosarcoma maydis	Fungi	290	21	Null
A0A2I4E5L6	Juglans regia	Viridiplantae	502	27	Null
A0A7J6K7Y0	Toxoplasma gondii	Sar	640	70	Null
A0A7M6UMR7	Apis mellifera	Metazoa	1010	16	Null
A6P6V9	Cannabis sativa	Viridiplantae	544	28	Null
A6XMY0	Hyas araneus	Metazoa	64	25	Null
A8E2V8	Trimeresurus gracilis	Metazoa	139	16	Null
A8QL52	Bungarus fasciatus	Metazoa	517	19	Null
C0H9B6	Salmo salar	Metazoa	413	19	Null
C0HJM9	Tityus fasciolatus	Metazoa	84	20	Null
F1NSM7	Gallus gallus	Metazoa	743	18	Null
F8QN53	Vipera renardi	Metazoa	137	16	Null
G4ZHR2	Phytophthora sojae (strain P6497)	Sar	241	19	Null
K9L4P7	Penicillium chrysogenum	Fungi	604	18	Null
M1MR49	Rhipicephalus appendiculatus	Metazoa	176	24	Null
O18998	Oryctolagus cuniculus	Metazoa	281	21	Null
O42446	Oreochromis mossambicus	Metazoa	284	26	Null
O42807	Aspergillus niger	Fungi	281	21	Null
O57385	Deinagkistrodon acutus	Metazoa	138	16	Null
O64392	Triticum aestivum	Viridiplantae	146	21	Null
O76818	Agrotis ipsilon	Metazoa	193	19	Null
P00616	Oxyuranus scutellatus scutellatus	Metazoa	152	19	Null
P00690	Sus scrofa	Metazoa	511	15	Null
P00716	Oryctolagus cuniculus	Metazoa	141	19	Null
P01321	Canis lupus familiaris	Metazoa	110	24	Null
P02669	Ovis aries	Metazoa	192	21	Null
P02752	Gallus gallus	Metazoa	238	17	Null
P02870	Lens culinaris	Viridiplantae	275	30	Null
P03954	Macaca fuscata fuscata	Metazoa	388	15	Null
P07692	Torpedo marmorata	Metazoa	590	24	Null
P0C8E7	Rhipicephalus sanguineus	Metazoa	114	20	Null
P0C8G6	Pomacea canaliculata	Metazoa	565	26	Null
P0CB51	Coccidioides posadasii (strain RMSCC 757 / Silveira)	Fungi	427	17	Null
P0DJJ9	Protobothrops flavoviridis	Metazoa	138	16	Null
P0DJN7	Crotalus lepidus lepidus	Metazoa	138	16	Null
P10764	Ovis aries	Metazoa	179	24	Null
P11218	Urtica dioica	Viridiplantae	372	23	Null
P13487	Leiurus hebraeus	Metazoa	59	22	Null
P15358	Haementeria officinalis	Metazoa	136	17	Null
P17728	Leiurus hebraeus	Metazoa	85	19	Null
P18658	Macaca fascicularis	Metazoa	101	22	Null
P19136	Phanerodontia chrysosporium	Fungi	382	24	Null
P20058	Oryctolagus cuniculus	Metazoa	460	25	Null
P20474	Bothrops asper	Metazoa	138	16	Null
P28491	Sus scrofa	Metazoa	417	17	Null
P30230	Raphanus sativus	Viridiplantae	80	29	Null
P30440	Felis catus	Metazoa	109	17	Null
P30659	Lutzomyia longipalpis	Metazoa	86	23	Null
P31515	Xenopus laevis	Metazoa	341	29	Null
P45561	Sus scrofa	Metazoa	189	16	Null
P45628	Leiurus hebraeus	Metazoa	59	22	Null
P45697	Olivierus martensii	Metazoa	84	19	Null
P53366	Sus scrofa	Metazoa	188	21	Null
P58154	Lymnaea stagnalis	Metazoa	229	19	Null
P60212	Tityus obscurus	Metazoa	87	20	Null
P67875	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293)	Fungi	176	27	Null
P79208	Ovis aries	Metazoa	603	16	Null
P80035	Canis lupus familiaris	Metazoa	398	19	Null
P81608	Sus scrofa	Metazoa	191	16	Null
P82935	Naja kaouthia	Metazoa	86	21	Null
P83403	Glossina morsitans morsitans	Metazoa	63	23	Null
P83673	Crassostrea virginica	Metazoa	184	20	Null
P85966	Triticum kiharae	Viridiplantae	116	34	Null
P86100	Olivierus martensii	Metazoa	410	25	Null
P86408	Mesobuthus eupeus	Metazoa	85	19	Null
P93484	Pisum sativum	Viridiplantae	623	22	Null
Q00193	Oryctolagus cuniculus	Metazoa	540	24	Null
Q05538	Solanum lycopersicum	Viridiplantae	322	22	Null
Q07203	Xenopus laevis	Metazoa	238	16	Null
Q0GY40	Hoffmannihadrurus gertschi	Metazoa	95	19	Null
Q26241	Rhodnius prolixus	Metazoa	202	23	Null
Q26292	Leiurus hebraeus	Metazoa	85	21	Null
Q27083	Tachypleus tridentatus	Metazoa	309	31	Null
Q28270	Canis lupus familiaris	Metazoa	389	33	Null
Q2YHJ3	Craspedocephalus borneensis	Metazoa	138	16	Null
Q2YHJ7	Craspedocephalus puniceus	Metazoa	138	16	Null
Q3L245	Leucoagaricus meleagris	Fungi	602	25	Null
Q52085	Heterostelium pallidum	Amoebozoa	320	19	Null
Q55P57	Cryptococcus neoformans var. neoformans serotype D (strain B-3501A)	Fungi	624	20	Null
Q5AMT2	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	308	18	Null
Q5B1W7	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	Fungi	385	18	Null
Q6IWZ0	Aplysia californica	Metazoa	535	18	Null
Q70SU8	Salmo salar	Metazoa	342	19	Null
Q84ZX5	Artemisia vulgaris	Viridiplantae	132	24	Null
Q8GT41	Platanus acerifolia	Viridiplantae	179	23	Null
Q8JFY4	Anguilla japonica	Metazoa	111	26	Null
Q8MMJ7	Opisthacanthus madagascariensis	Metazoa	68	23	Null
Q8MTX2	Opisthacanthus madagascariensis	Metazoa	71	23	Null
Q8QG87	Bothrops insularis	Metazoa	138	16	Null
Q94734	Rhodnius prolixus	Metazoa	205	21	Null
Q94EG3	Nicotiana langsdorffii x Nicotiana sanderae	Viridiplantae	229	32	Null
Q9DGI0	Bothrops jararaca	Metazoa	341	19	Null
Q9FRV0	Secale cereale	Viridiplantae	266	23	Null
Q9NJ98	Manduca sexta	Metazoa	487	19	Null
Q9TY95	Plasmodium falciparum (isolate 3D7)	Sar	997	22	Null
Q9UAC8	Olivierus martensii	Metazoa	85	19	Null
A0A1S3PBB7	Salmo salar	Metazoa	375	23	Null
A0A411EZW9	Agkistrodon piscivorus leucostoma	Metazoa	138	16	Null
A6MEY4	Bungarus fasciatus	Metazoa	145	27	Null
A8CG78	Daboia siamensis	Metazoa	138	16	Null
A8CL69	Apis mellifera	Metazoa	195	33	Null
B3A003	Crassostrea virginica	Metazoa	187	18	Null
C0HKM3	Conus purpurascens	Metazoa	458	18	Null
C0HLL2	Pithecopus azureus	Metazoa	146	18	Null
E7CLP2	Rhopalurus junceus	Metazoa	83	18	Null
F8QN54	Vipera renardi	Metazoa	138	16	Null
G8XQX1	Daboia russelii	Metazoa	504	18	Null
H6U1I8	Tanacetum cinerariifolium	Viridiplantae	365	27	Null
I2G9B4	Macrovipera lebetina transmediterranea	Metazoa	95	24	Null
J7H670	Lachesis muta	Metazoa	516	18	Null
O01949	Aedes aegypti	Metazoa	273	19	Null
O97763	Sus scrofa	Metazoa	149	19	Null
P00698	Gallus gallus	Metazoa	147	18	Null
P01165	Sus scrofa	Metazoa	207	22	Null
P01168	Sus scrofa	Metazoa	116	24	Null
P01238	Sus scrofa	Metazoa	229	30	Null
P01297	Sus scrofa	Metazoa	121	24	Null
P01348	Sus scrofa	Metazoa	182	24	Null
P01398	Bungarus multicinctus	Metazoa	87	21	Null
P02712	Tetronarce californica	Metazoa	493	24	Null
P02789	Gallus gallus	Metazoa	705	19	Null
P02866	Canavalia ensiformis	Viridiplantae	290	29	Null
P05117	Solanum lycopersicum	Viridiplantae	457	24	Null
P06857	Canis lupus familiaris	Metazoa	467	17	Null
P07634	Sus scrofa	Metazoa	131	25	Null
P07982	Hypocrea jecorina	Fungi	418	21	Null
P08818	Hordeum vulgare	Viridiplantae	476	34	Null
P08989	Canis lupus familiaris	Metazoa	146	23	Null
P0DL37	Urodacus yaschenkoi	Metazoa	62	24	Null
P10669	Sus scrofa	Metazoa	344	29	Null
P11916	Aquarana catesbeiana	Metazoa	133	22	Null
P13689	Zea mays	Viridiplantae	201	38	Null
P13806	Oryctolagus cuniculus	Metazoa	1106	26	Null
P14448	Gallus gallus	Metazoa	741	18	Null
P14632	Sus scrofa	Metazoa	704	19	Null
P15253	Oryctolagus cuniculus	Metazoa	418	17	Null
P16225	Sus scrofa	Metazoa	187	21	Null
P16933	Schizophyllum commune	Fungi	136	24	Null
P18632	Cryptomeria japonica	Viridiplantae	374	21	Null
P18649	Canis lupus familiaris	Metazoa	323	18	Null
P19425	Aedes aegypti	Metazoa	97	19	Null
P20507	Chlamydomonas reinhardtii	Viridiplantae	377	20	Null
P23631	Latrodectus tredecimguttatus	Metazoa	1401	20	Null
P27177	Gallus gallus	Metazoa	273	24	Null
P27731	Gallus gallus	Metazoa	150	20	Null
P29026	Rhizopus oligosporus	Fungi	540	22	Null
P29027	Rhizopus oligosporus	Fungi	542	22	Null
P29241	Aplysia californica	Metazoa	282	24	Null
P29695	Protobothrops flavoviridis	Metazoa	342	19	Null
P30986	Eschscholzia californica	Viridiplantae	538	23	Null
P34752	Aspergillus niger	Fungi	467	23	Null
P42098	Sus scrofa	Metazoa	421	22	Null
P45658	Androctonus australis	Metazoa	84	19	Null
P48096	Salmo salar	Metazoa	210	23	Null
P49121	Agkistrodon contortrix laticinctus	Metazoa	137	16	Null
P49256	Canis lupus familiaris	Metazoa	356	44	Null
P49278	Dermatophagoides pteronyssinus	Metazoa	146	17	Null
P52706	Prunus serotina	Viridiplantae	563	27	Null
P56513	Canis lupus familiaris	Metazoa	92	20	Null
P56742	Crotalus atrox	Metazoa	516	18	Null
P60266	Centruroides suffusus	Metazoa	87	19	Null
P60615	Bungarus multicinctus	Metazoa	95	21	Null
P67930	Ovis aries	Metazoa	217	27	Null
P80384	Lepidoglyphus destructor	Metazoa	141	16	Null
P80958	Naja atra	Metazoa	82	21	Null
P80963	Bothriechis schlegelii	Metazoa	137	16	Null
P81058	Penaeus vannamei	Metazoa	82	19	Null
P81649	Sus scrofa	Metazoa	153	26	Null
P84777	Tityus discrepans	Metazoa	61	23	Null
Q1HLC0	Lonomia obliqua	Metazoa	413	18	Null
Q27081	Tachypleus tridentatus	Metazoa	400	23	Null
Q27309	Bombyx mori	Metazoa	1782	15	Null
Q29011	Sus scrofa	Metazoa	2434	16	Null
Q3L1D1	Agaricus bisporus	Fungi	594	25	Null
Q40772	Phytolacca americana	Viridiplantae	310	25	Null
Q41638	Phaseolus angularis	Viridiplantae	292	20	Null
Q4PRD1	Daboia siamensis	Metazoa	146	23	Null
Q4WL81	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293)	Fungi	234	20	Null
Q59XX2	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	378	32	Null
Q5U9S1	Sus scrofa	Metazoa	249	20	Null
Q6EER2	Sistrurus tergeminus	Metazoa	138	16	Null
Q6J4Q1	Apis mellifera	Metazoa	683	21	Null
Q6STF1	Gloydius halys	Metazoa	504	18	Null
Q75N35	Dioscorea polystachya	Viridiplantae	272	25	Null
Q76IQ4	Oncorhynchus mykiss	Metazoa	111	26	Null
Q7ZTA7	Crotalus lutosus abyssus	Metazoa	138	16	Null
Q7ZTA8	Crotalus viridis viridis	Metazoa	138	16	Null
Q8GTB6	Cannabis sativa	Viridiplantae	545	28	Null
Q8I034	Felis catus	Metazoa	545	28	Null
Q8ISL8	Apis mellifera	Metazoa	78	24	Null
Q8J0K5	Talaromyces funiculosus	Fungi	282	39	Null
Q8MMH3	Pimpla hypochondriaca	Metazoa	488	19	Null
Q8MP06	Tyria jacobaeae	Metazoa	456	22	Null
Q8SPQ0	Capra hircus	Metazoa	383	21	Null
Q8WP90	Solenopsis invicta	Metazoa	153	19	Null
Q8WPJ2	Mytilus edulis	Metazoa	367	17	Null
Q95P90	Olivierus martensii	Metazoa	94	22	Null
Q9BKB7	Mesobuthus eupeus	Metazoa	57	21	Null
Q9DF69	Gallus gallus	Metazoa	594	18	Null
Q9FRV1	Secale cereale	Viridiplantae	321	19	Null
Q9HE18	Talaromyces funiculosus	Fungi	353	18	Null
Q9PWF3	Crotalus durissus terrificus	Metazoa	65	22	Null
Q9U8W7	Tachypleus tridentatus	Metazoa	316	27	Null
Q9XIV8	Nicotiana tabacum	Viridiplantae	330	29	Null
Q9XSW3	Sus scrofa	Metazoa	240	18	Null
Q9XYT4	Cryptorchestia cavimana	Metazoa	128	20	Null
V5NC32	Agaricus xanthodermus	Fungi	600	25	Null
A0A5C2A2T2	Conus purpurascens	Metazoa	178	24	Null
A1XRN2	Metlapilcoatlus nummifer	Metazoa	166	19	Null
A4VBF0	Vipera nikolskii	Metazoa	138	16	Null
B2G331	Radianthus crispa	Metazoa	78	22	Null
B7S4N9	Oxyuranus scutellatus scutellatus	Metazoa	88	24	Null
B7ZS96	Xenopus laevis	Metazoa	153	19	Null
C0HK27	Dioclea lasiophylla	Viridiplantae	291	28	Null
C7F6X3	Leucosporidium sp. (strain AY30)	Fungi	261	20	Null
C9K4X8	Patiria pectinifera	Metazoa	116	29	Null
E3W9M2	Dianthus caryophyllus	Viridiplantae	502	30	Null
F1RRV3	Sus scrofa	Metazoa	2692	19	Null
G9I930	Micrurus tener tener	Metazoa	149	30	Null
I3LGZ3	Sus scrofa	Metazoa	81	24	Null
K9IMD0	Desmodus rotundus	Metazoa	708	19	Null
O18330	Apis mellifera	Metazoa	432	19	Null
O55245	Crocodylus porosus	Metazoa	150	20	Null
O80323	Pyrus pyrifolia	Viridiplantae	222	22	Null
P00624	Crotalus atrox	Metazoa	138	16	Null
P00655	Aspergillus giganteus	Fungi	177	27	Null
P01005	Gallus gallus	Metazoa	210	24	Null
P01183	Sus scrofa	Metazoa	166	19	Null
P01218	Ovis aries	Metazoa	120	24	Null
P01235	Cyprinus carpio	Metazoa	144	27	Null
P01274	Sus scrofa	Metazoa	180	20	Null
P01492	Centruroides sculpturatus	Metazoa	87	19	Null
P02648	Canis lupus familiaris	Metazoa	266	18	Null
P02701	Gallus gallus	Metazoa	152	24	Null
P02879	Ricinus communis	Viridiplantae	576	35	Null
P04405	Glycine max	Viridiplantae	485	18	Null
P04653	Ovis aries	Metazoa	214	15	Null
P07221	Oryctolagus cuniculus	Metazoa	395	28	Null
P08001	Sus scrofa	Metazoa	415	16	Null
P08125	Gallus gallus	Metazoa	674	18	Null
P08176	Dermatophagoides pteronyssinus	Metazoa	320	18	Null
P08878	Crotalus durissus terrificus	Metazoa	138	37	Null
P09230	Yarrowia lipolytica (strain CLIB 122 / E 150)	Fungi	454	15	Null
P0DKL3	Maackia amurensis	Viridiplantae	287	29	Null
P10297	Phytolacca americana	Viridiplantae	313	22	Null
P11407	Vipera ammodytes ammodytes	Metazoa	138	16	Null
P11936	Sus scrofa	Metazoa	284	22	Null
P12670	Solanum lycopersicum	Viridiplantae	247	21	Null
P12822	Oryctolagus cuniculus	Metazoa	1310	33	Null
P15226	Tityus serrulatus	Metazoa	84	20	Null
P18650	Sus scrofa	Metazoa	317	18	Null
P19069	Cavia porcellus	Metazoa	1742	19	Null
P19121	Gallus gallus	Metazoa	615	18	Null
P19134	Oryctolagus cuniculus	Metazoa	695	19	Null
P23028	Pseudonaja textilis	Metazoa	152	19	Null
P24605	Bothrops asper	Metazoa	137	16	Null
P24802	Gallus gallus	Metazoa	730	20	Null
P26216	Zea mays	Viridiplantae	410	22	Null
P28797	Cavia porcellus	Metazoa	605	17	Null
P31100	Daboia siamensis	Metazoa	138	16	Null
P31429	Oryctolagus cuniculus	Metazoa	410	16	Null
P34745	Ictalurus punctatus	Metazoa	200	22	Null
P56201	Oryctolagus cuniculus	Metazoa	797	24	Null
P56637	Hottentotta judaicus	Metazoa	94	18	Null
P60214	Tityus obscurus	Metazoa	86	20	Null
P79762	Gallus gallus	Metazoa	437	20	Null
P80325	Cavia porcellus	Metazoa	96	23	Null
P81054	Grifola frondosa	Fungi	348	18	Null
P81383	Ophiophagus hannah	Metazoa	491	20	Null
P81446	Viscum album	Viridiplantae	564	33	Null
P84516	Sorghum bicolor	Viridiplantae	362	31	Null
Q01172	Aspergillus niger	Fungi	379	20	Null
Q1RP78	Vipera nikolskii	Metazoa	138	16	Null
Q1XG90	Crassostrea virginica	Metazoa	135	18	Null
Q27082	Tachypleus tridentatus	Metazoa	673	19	Null
Q29411	Sus scrofa	Metazoa	383	21	Null
Q2ULM2	Aspergillus oryzae (strain ATCC 42149 / RIB 40)	Fungi	496	16	Null
Q42369	Lupinus angustifolius	Viridiplantae	449	33	Null
Q4W1I9	Zinnia elegans	Viridiplantae	321	30	Null
Q5ECE3	Lonomia obliqua	Metazoa	201	16	Null
Q6DWK3	Colletotrichum lindemuthianum	Fungi	248	26	Null
Q6H3C8	Trimeresurus stejnegeri	Metazoa	138	16	Null
Q6H3D0	Trimeresurus stejnegeri	Metazoa	138	16	Null
Q6PSU2	Arachis hypogaea	Viridiplantae	172	21	Null
Q6TGQ8	Bothrops moojeni	Metazoa	502	18	Null
Q7ZTA6	Crotalus viridis viridis	Metazoa	138	16	Null
Q800C4	Crotalus viridis viridis	Metazoa	138	16	Null
