Accession	Organism	Kingdom	Sequence length	SP cleavage
P80746	1048	1	30	Bos taurus	Metazoa
P81160	54	1	21	Drosophila melanogaster	Metazoa
P83869	46	1	22	Drosophila melanogaster	Metazoa
P97710	509	1	31	Rattus norvegicus	Metazoa
Q00657	2326	1	29	Rattus norvegicus	Metazoa
Q02795	286	1	19	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi
Q03178	341	1	18	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi
Q09098	99	1	23	Mus musculus	Metazoa
Q23997	452	1	18	Drosophila melanogaster	Metazoa
Q3Y5Z3	240	1	17	Bos taurus	Metazoa
Q4V4I9	182	1	22	Drosophila melanogaster	Metazoa
Q62598	687	1	17	Rattus norvegicus	Metazoa
Q63345	245	1	27	Rattus norvegicus	Metazoa
Q63372	1530	1	30	Rattus norvegicus	Metazoa
Q63415	937	1	45	Rattus norvegicus	Metazoa
Q64550	535	1	29	Rattus norvegicus	Metazoa
Q76BW5	290	1	25	Oryza sativa subsp. japonica	Viridiplantae
Q7YSJ4	708	1	19	Dictyostelium discoideum	Amoebozoa
Q86IV5	258	1	21	Dictyostelium discoideum	Amoebozoa
Q8WML4	580	1	22	Bos taurus	Metazoa
Q91XA9	473	1	21	Mus musculus	Metazoa
Q949Y3	475	1	30	Arabidopsis thaliana	Viridiplantae
Q95M17	472	1	21	Bos taurus	Metazoa
Q99MA2	674	1	22	Rattus norvegicus	Metazoa
Q9JI59	298	1	28	Mus musculus	Metazoa
Q9JJS8	685	1	19	Rattus norvegicus	Metazoa
Q9R100	827	1	25	Mus musculus	Metazoa
Q9SUQ8	187	1	29	Arabidopsis thaliana	Viridiplantae
Q9V496	3351	1	25	Drosophila melanogaster	Metazoa
Q9VA83	227	1	19	Drosophila melanogaster	Metazoa
Q9VG55	191	1	24	Drosophila melanogaster	Metazoa
Q9VH14	210	1	27	Drosophila melanogaster	Metazoa
Q9VMD9	2188	1	18	Drosophila melanogaster	Metazoa
Q9WVJ9	443	1	27	Mus musculus	Metazoa
Q9Z0L3	485	1	17	Mus musculus	Metazoa
Q9ZWA9	451	1	25	Arabidopsis thaliana	Viridiplantae
A0A7J6K7I9	553	1	64	Toxoplasma gondii	Sar
A2VBC4	322	1	18	Polybia paulista	Metazoa
A8CG82	138	1	16	Daboia siamensis	Metazoa
A8CG86	138	1	16	Daboia russelii	Metazoa
C7G3K3	80	1	21	Liocheles australasiae	Metazoa
D3GDK4	225	1	15	Cryptopygus antarcticus	Metazoa
O00092	465	1	26	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293)	Fungi
O00100	466	1	19	Aspergillus terreus	Fungi
O61705	84	1	19	Olivierus martensii	Metazoa
O64411	500	1	28	Zea mays	Viridiplantae
O93364	516	1	18	Crotalus adamanteus	Metazoa
O97939	1142	1	38	Sus scrofa	Metazoa
P00592	146	1	15	Sus scrofa	Metazoa
P00623	138	1	16	Crotalus adamanteus	Metazoa
P00625	139	1	16	Ovophis okinavensis	Metazoa
P00626	138	1	16	Vipera ammodytes ammodytes	Metazoa
P00701	147	1	18	Coturnix japonica	Metazoa
P00702	147	1	17	Phasianus colchicus colchicus	Metazoa
P00712	142	1	19	Capra hircus	Metazoa
P00772	266	1	16	Sus scrofa	Metazoa
P01083	153	1	30	Triticum aestivum	Viridiplantae
P01240	229	1	30	Ovis aries	Metazoa
P01269	115	1	25	Sus scrofa	Metazoa
P01315	108	1	24	Sus scrofa	Metazoa
P01484	85	1	19	Androctonus australis	Metazoa
P02670	192	1	21	Capra hircus	Metazoa
P02779	91	1	21	Oryctolagus cuniculus	Metazoa
P06867	809	1	19	Sus scrofa	Metazoa
P07981	459	1	22	Hypocrea jecorina	Fungi
P08751	169	1	20	Equus caballus	Metazoa
P09102	515	1	22	Gallus gallus	Metazoa
P09479	456	1	20	Gallus gallus	Metazoa
P0C1B3	499	1	21	Aspergillus oryzae (strain ATCC 42149 / RIB 40)	Fungi
P0C8G7	286	1	30	Pomacea canaliculata	Metazoa
P0CAR9	137	1	16	Cerastes cerastes	Metazoa
P0CAS0	136	1	16	Cerastes cerastes	Metazoa
P0CC17	506	1	18	Bothrops atrox	Metazoa
P0CS93	680	1	24	Gibberella zeae	Fungi
P0DJN6	138	1	16	Crotalus horridus	Metazoa
P0DUJ5	66	1	22	Pterois volitans	Metazoa
P14424	138	1	16	Vipera ammodytes ammodytes	Metazoa
P17454	482	1	26	Oryctolagus cuniculus	Metazoa
P17935	138	1	16	Vipera ammodytes ammodytes	Metazoa
P19874	101	1	22	Oryctolagus cuniculus	Metazoa
P21611	119	1	21	Gallus gallus	Metazoa
P21760	178	1	20	Gallus gallus	Metazoa
P22412	409	1	16	Sus scrofa	Metazoa
P22458	475	1	19	Oryctolagus cuniculus	Metazoa
P23807	146	1	23	Protobothrops flavoviridis	Metazoa
P24021	287	1	20	Aspergillus oryzae (strain ATCC 42149 / RIB 40)	Fungi
P24027	138	1	16	Crotalus durissus terrificus	Metazoa
P24091	324	1	23	Nicotiana tabacum	Viridiplantae
P24259	150	1	24	Sus scrofa	Metazoa
P26894	103	1	25	Sus scrofa	Metazoa
P31346	147	1	24	Sus scrofa	Metazoa
P31347	149	1	24	Oryctolagus cuniculus	Metazoa
P32760	165	1	30	Gallus gallus	Metazoa
P33183	563	1	25	Sambucus nigra	Viridiplantae
P34095	98	1	21	Entamoeba histolytica (strain ATCC 30459 / HM-1:IMSS / ABRM)	Amoebozoa
P35495	133	1	24	Sus scrofa	Metazoa
P37042	92	1	23	Gallus gallus	Metazoa
P42292	588	1	33	Gallus gallus	Metazoa
P45881	138	1	16	Bothrops jararacussu	Metazoa
P48819	459	1	19	Sus scrofa	Metazoa
P58738	269	1	24	Zea mays	Viridiplantae
P60770	83	1	21	Naja atra	Metazoa
P62694	513	1	17	Hypocrea jecorina	Fungi
P67970	107	1	24	Gallus gallus	Metazoa
P81702	134	1	14	Ceratocystis fimbriata f. sp. platani	Fungi
P82114	138	1	16	Bothrops moojeni	Metazoa
P82290	58	1	23	Anopheles gambiae	Metazoa
P83886	181	1	30	Allium sativum	Viridiplantae
P84810	91	1	22	Buthus occitanus tunetanus	Metazoa
Q02567	378	1	21	Phanerodontia chrysosporium	Fungi
Q09131	464	1	30	Glycine max	Viridiplantae
Q09140	1448	1	18	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi
Q17060	544	1	20	Apis mellifera	Metazoa
Q2HZ28	138	1	16	Bothrops erythromelas	Metazoa
Q2PWA3	138	1	16	Protobothrops mucrosquamatus	Metazoa
Q2VG86	369	1	24	Bombyx mori	Metazoa
Q2YHJ2	138	1	16	Craspedocephalus borneensis	Metazoa
Q41358	570	1	28	Sambucus nigra	Viridiplantae
Q4W1I8	321	1	30	Zinnia elegans	Viridiplantae
Q4WBS1	438	1	17	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293)	Fungi
Q53B58	93	1	21	Ophiophagus hannah	Metazoa
Q59Y31	533	1	21	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi
Q60557	671	1	21	Mesocricetus auratus	Metazoa
Q64424	470	1	18	Myocastor coypus	Metazoa
Q6EH50	312	1	22	Phytolacca heterotepala	Viridiplantae
Q6PW77	499	1	25	Sarocladium strictum	Fungi
Q71QE8	138	1	16	Crotalus viridis viridis	Metazoa
Q7SZN0	1460	1	30	Pseudonaja textilis	Metazoa
Q84UV8	274	1	25	Nicotiana langsdorffii x Nicotiana sanderae	Viridiplantae
Q86LE5	110	1	20	Rhipicephalus microplus	Metazoa
Q8QGR0	86	1	21	Dendroaspis angusticeps	Metazoa
Q8X150	618	1	16	Gaeumannomyces tritici	Fungi
Q90611	663	1	26	Gallus gallus	Metazoa
Q966V2	388	1	22	Halocynthia roretzi	Metazoa
Q9LRC8	527	1	25	Scutellaria baicalensis	Viridiplantae
Q9M653	603	1	39	Polygonatum multiflorum	Viridiplantae
Q9M6E9	547	1	20	Abrus precatorius	Viridiplantae
Q9TVX3	61	1	28	Olivierus martensii	Metazoa
Q9U8W8	292	1	23	Tachypleus tridentatus	Metazoa
Q9YGP1	158	1	23	Trimeresurus stejnegeri	Metazoa
U6BLZ9	463	1	26	Penicillium canescens	Fungi
A0A0D1DWQ2	290	1	21	Mycosarcoma maydis	Fungi
A0A2I4E5L6	502	1	27	Juglans regia	Viridiplantae
A0A7J6K7Y0	640	1	70	Toxoplasma gondii	Sar
A0A7M6UMR7	1010	1	16	Apis mellifera	Metazoa
A6P6V9	544	1	28	Cannabis sativa	Viridiplantae
A6XMY0	64	1	25	Hyas araneus	Metazoa
A8E2V8	139	1	16	Trimeresurus gracilis	Metazoa
A8QL52	517	1	19	Bungarus fasciatus	Metazoa
C0H9B6	413	1	19	Salmo salar	Metazoa
C0HJM9	84	1	20	Tityus fasciolatus	Metazoa
F1NSM7	743	1	18	Gallus gallus	Metazoa
F8QN53	137	1	16	Vipera renardi	Metazoa
G4ZHR2	241	1	19	Phytophthora sojae (strain P6497)	Sar
K9L4P7	604	1	18	Penicillium chrysogenum	Fungi
M1MR49	176	1	24	Rhipicephalus appendiculatus	Metazoa
O18998	281	1	21	Oryctolagus cuniculus	Metazoa
O42446	284	1	26	Oreochromis mossambicus	Metazoa
O42807	281	1	21	Aspergillus niger	Fungi
O57385	138	1	16	Deinagkistrodon acutus	Metazoa
O64392	146	1	21	Triticum aestivum	Viridiplantae
O76818	193	1	19	Agrotis ipsilon	Metazoa
P00616	152	1	19	Oxyuranus scutellatus scutellatus	Metazoa
P00690	511	1	15	Sus scrofa	Metazoa
P00716	141	1	19	Oryctolagus cuniculus	Metazoa
P01321	110	1	24	Canis lupus familiaris	Metazoa
P02669	192	1	21	Ovis aries	Metazoa
P02752	238	1	17	Gallus gallus	Metazoa
P02870	275	1	30	Lens culinaris	Viridiplantae
P03954	388	1	15	Macaca fuscata fuscata	Metazoa
P07692	590	1	24	Torpedo marmorata	Metazoa
P0C8E7	114	1	20	Rhipicephalus sanguineus	Metazoa
P0C8G6	565	1	26	Pomacea canaliculata	Metazoa
P0CB51	427	1	17	Coccidioides posadasii (strain RMSCC 757 / Silveira)	Fungi
P0DJJ9	138	1	16	Protobothrops flavoviridis	Metazoa
P0DJN7	138	1	16	Crotalus lepidus lepidus	Metazoa
P10764	179	1	24	Ovis aries	Metazoa
P11218	372	1	23	Urtica dioica	Viridiplantae
P13487	59	1	22	Leiurus hebraeus	Metazoa
P15358	136	1	17	Haementeria officinalis	Metazoa
P17728	85	1	19	Leiurus hebraeus	Metazoa
P18658	101	1	22	Macaca fascicularis	Metazoa
P19136	382	1	24	Phanerodontia chrysosporium	Fungi
P20058	460	1	25	Oryctolagus cuniculus	Metazoa
P20474	138	1	16	Bothrops asper	Metazoa
P28491	417	1	17	Sus scrofa	Metazoa
P30230	80	1	29	Raphanus sativus	Viridiplantae
P30440	109	1	17	Felis catus	Metazoa
P30659	86	1	23	Lutzomyia longipalpis	Metazoa
P31515	341	1	29	Xenopus laevis	Metazoa
P45561	189	1	16	Sus scrofa	Metazoa
P45628	59	1	22	Leiurus hebraeus	Metazoa
P45697	84	1	19	Olivierus martensii	Metazoa
P53366	188	1	21	Sus scrofa	Metazoa
P58154	229	1	19	Lymnaea stagnalis	Metazoa
P60212	87	1	20	Tityus obscurus	Metazoa
P67875	176	1	27	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293)	Fungi
P79208	603	1	16	Ovis aries	Metazoa
P80035	398	1	19	Canis lupus familiaris	Metazoa
P81608	191	1	16	Sus scrofa	Metazoa
P82935	86	1	21	Naja kaouthia	Metazoa
P83403	63	1	23	Glossina morsitans morsitans	Metazoa
P83673	184	1	20	Crassostrea virginica	Metazoa
P85966	116	1	34	Triticum kiharae	Viridiplantae
P86100	410	1	25	Olivierus martensii	Metazoa
P86408	85	1	19	Mesobuthus eupeus	Metazoa
P93484	623	1	22	Pisum sativum	Viridiplantae
Q00193	540	1	24	Oryctolagus cuniculus	Metazoa
Q05538	322	1	22	Solanum lycopersicum	Viridiplantae
Q07203	238	1	16	Xenopus laevis	Metazoa
Q0GY40	95	1	19	Hoffmannihadrurus gertschi	Metazoa
Q26241	202	1	23	Rhodnius prolixus	Metazoa
Q26292	85	1	21	Leiurus hebraeus	Metazoa
Q27083	309	1	31	Tachypleus tridentatus	Metazoa
Q28270	389	1	33	Canis lupus familiaris	Metazoa
Q2YHJ3	138	1	16	Craspedocephalus borneensis	Metazoa
Q2YHJ7	138	1	16	Craspedocephalus puniceus	Metazoa
Q3L245	602	1	25	Leucoagaricus meleagris	Fungi
Q52085	320	1	19	Heterostelium pallidum	Amoebozoa
Q55P57	624	1	20	Cryptococcus neoformans var. neoformans serotype D (strain B-3501A)	Fungi
Q5AMT2	308	1	18	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi
Q5B1W7	385	1	18	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	Fungi
Q6IWZ0	535	1	18	Aplysia californica	Metazoa
Q70SU8	342	1	19	Salmo salar	Metazoa
Q84ZX5	132	1	24	Artemisia vulgaris	Viridiplantae
Q8GT41	179	1	23	Platanus acerifolia	Viridiplantae
Q8JFY4	111	1	26	Anguilla japonica	Metazoa
Q8MMJ7	68	1	23	Opisthacanthus madagascariensis	Metazoa
Q8MTX2	71	1	23	Opisthacanthus madagascariensis	Metazoa
Q8QG87	138	1	16	Bothrops insularis	Metazoa
Q94734	205	1	21	Rhodnius prolixus	Metazoa
Q94EG3	229	1	32	Nicotiana langsdorffii x Nicotiana sanderae	Viridiplantae
Q9DGI0	341	1	19	Bothrops jararaca	Metazoa
Q9FRV0	266	1	23	Secale cereale	Viridiplantae
Q9NJ98	487	1	19	Manduca sexta	Metazoa
Q9TY95	997	1	22	Plasmodium falciparum (isolate 3D7)	Sar
Q9UAC8	85	1	19	Olivierus martensii	Metazoa
A0A1S3PBB7	375	1	23	Salmo salar	Metazoa
A0A411EZW9	138	1	16	Agkistrodon piscivorus leucostoma	Metazoa
A6MEY4	145	1	27	Bungarus fasciatus	Metazoa
A8CG78	138	1	16	Daboia siamensis	Metazoa
A8CL69	195	1	33	Apis mellifera	Metazoa
B3A003	187	1	18	Crassostrea virginica	Metazoa
C0HKM3	458	1	18	Conus purpurascens	Metazoa
C0HLL2	146	1	18	Pithecopus azureus	Metazoa
E7CLP2	83	1	18	Rhopalurus junceus	Metazoa
F8QN54	138	1	16	Vipera renardi	Metazoa
G8XQX1	504	1	18	Daboia russelii	Metazoa
H6U1I8	365	1	27	Tanacetum cinerariifolium	Viridiplantae
I2G9B4	95	1	24	Macrovipera lebetina transmediterranea	Metazoa
J7H670	516	1	18	Lachesis muta	Metazoa
O01949	273	1	19	Aedes aegypti	Metazoa
O97763	149	1	19	Sus scrofa	Metazoa
P00698	147	1	18	Gallus gallus	Metazoa
P01165	207	1	22	Sus scrofa	Metazoa
P01168	116	1	24	Sus scrofa	Metazoa
P01238	229	1	30	Sus scrofa	Metazoa
P01297	121	1	24	Sus scrofa	Metazoa
P01348	182	1	24	Sus scrofa	Metazoa
P01398	87	1	21	Bungarus multicinctus	Metazoa
P02712	493	1	24	Tetronarce californica	Metazoa
P02789	705	1	19	Gallus gallus	Metazoa
P02866	290	1	29	Canavalia ensiformis	Viridiplantae
P05117	457	1	24	Solanum lycopersicum	Viridiplantae
P06857	467	1	17	Canis lupus familiaris	Metazoa
P07634	131	1	25	Sus scrofa	Metazoa
P07982	418	1	21	Hypocrea jecorina	Fungi
P08818	476	1	34	Hordeum vulgare	Viridiplantae
P08989	146	1	23	Canis lupus familiaris	Metazoa
P0DL37	62	1	24	Urodacus yaschenkoi	Metazoa
P10669	344	1	29	Sus scrofa	Metazoa
P11916	133	1	22	Aquarana catesbeiana	Metazoa
P13689	201	1	38	Zea mays	Viridiplantae
P13806	1106	1	26	Oryctolagus cuniculus	Metazoa
P14448	741	1	18	Gallus gallus	Metazoa
P14632	704	1	19	Sus scrofa	Metazoa
P15253	418	1	17	Oryctolagus cuniculus	Metazoa
P16225	187	1	21	Sus scrofa	Metazoa
P16933	136	1	24	Schizophyllum commune	Fungi
P18632	374	1	21	Cryptomeria japonica	Viridiplantae
P18649	323	1	18	Canis lupus familiaris	Metazoa
P19425	97	1	19	Aedes aegypti	Metazoa
P20507	377	1	20	Chlamydomonas reinhardtii	Viridiplantae
P23631	1401	1	20	Latrodectus tredecimguttatus	Metazoa
P27177	273	1	24	Gallus gallus	Metazoa
P27731	150	1	20	Gallus gallus	Metazoa
P29026	540	1	22	Rhizopus oligosporus	Fungi
P29027	542	1	22	Rhizopus oligosporus	Fungi
P29241	282	1	24	Aplysia californica	Metazoa
P29695	342	1	19	Protobothrops flavoviridis	Metazoa
P30986	538	1	23	Eschscholzia californica	Viridiplantae
P34752	467	1	23	Aspergillus niger	Fungi
P42098	421	1	22	Sus scrofa	Metazoa
P45658	84	1	19	Androctonus australis	Metazoa
P48096	210	1	23	Salmo salar	Metazoa
P49121	137	1	16	Agkistrodon contortrix laticinctus	Metazoa
P49256	356	1	44	Canis lupus familiaris	Metazoa
P49278	146	1	17	Dermatophagoides pteronyssinus	Metazoa
P52706	563	1	27	Prunus serotina	Viridiplantae
P56513	92	1	20	Canis lupus familiaris	Metazoa
P56742	516	1	18	Crotalus atrox	Metazoa
P60266	87	1	19	Centruroides suffusus	Metazoa
P60615	95	1	21	Bungarus multicinctus	Metazoa
P67930	217	1	27	Ovis aries	Metazoa
P80384	141	1	16	Lepidoglyphus destructor	Metazoa
P80958	82	1	21	Naja atra	Metazoa
P80963	137	1	16	Bothriechis schlegelii	Metazoa
P81058	82	1	19	Penaeus vannamei	Metazoa
P81649	153	1	26	Sus scrofa	Metazoa
P84777	61	1	23	Tityus discrepans	Metazoa
Q1HLC0	413	1	18	Lonomia obliqua	Metazoa
Q27081	400	1	23	Tachypleus tridentatus	Metazoa
Q27309	1782	1	15	Bombyx mori	Metazoa
Q29011	2434	1	16	Sus scrofa	Metazoa
Q3L1D1	594	1	25	Agaricus bisporus	Fungi
Q40772	310	1	25	Phytolacca americana	Viridiplantae
Q41638	292	1	20	Phaseolus angularis	Viridiplantae
Q4PRD1	146	1	23	Daboia siamensis	Metazoa
Q4WL81	234	1	20	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293)	Fungi
Q59XX2	378	1	32	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi
Q5U9S1	249	1	20	Sus scrofa	Metazoa
Q6EER2	138	1	16	Sistrurus tergeminus	Metazoa
Q6J4Q1	683	1	21	Apis mellifera	Metazoa
Q6STF1	504	1	18	Gloydius halys	Metazoa
Q75N35	272	1	25	Dioscorea polystachya	Viridiplantae
Q76IQ4	111	1	26	Oncorhynchus mykiss	Metazoa
Q7ZTA7	138	1	16	Crotalus lutosus abyssus	Metazoa
Q7ZTA8	138	1	16	Crotalus viridis viridis	Metazoa
Q8GTB6	545	1	28	Cannabis sativa	Viridiplantae
Q8I034	545	1	28	Felis catus	Metazoa
Q8ISL8	78	1	24	Apis mellifera	Metazoa
Q8J0K5	282	1	39	Talaromyces funiculosus	Fungi
Q8MMH3	488	1	19	Pimpla hypochondriaca	Metazoa
Q8MP06	456	1	22	Tyria jacobaeae	Metazoa
Q8SPQ0	383	1	21	Capra hircus	Metazoa
Q8WP90	153	1	19	Solenopsis invicta	Metazoa
Q8WPJ2	367	1	17	Mytilus edulis	Metazoa
Q95P90	94	1	22	Olivierus martensii	Metazoa
Q9BKB7	57	1	21	Mesobuthus eupeus	Metazoa
Q9DF69	594	1	18	Gallus gallus	Metazoa
Q9FRV1	321	1	19	Secale cereale	Viridiplantae
Q9HE18	353	1	18	Talaromyces funiculosus	Fungi
Q9PWF3	65	1	22	Crotalus durissus terrificus	Metazoa
Q9U8W7	316	1	27	Tachypleus tridentatus	Metazoa
Q9XIV8	330	1	29	Nicotiana tabacum	Viridiplantae
Q9XSW3	240	1	18	Sus scrofa	Metazoa
Q9XYT4	128	1	20	Cryptorchestia cavimana	Metazoa
V5NC32	600	1	25	Agaricus xanthodermus	Fungi
A0A5C2A2T2	178	1	24	Conus purpurascens	Metazoa
A1XRN2	166	1	19	Metlapilcoatlus nummifer	Metazoa
A4VBF0	138	1	16	Vipera nikolskii	Metazoa
B2G331	78	1	22	Radianthus crispa	Metazoa
B7S4N9	88	1	24	Oxyuranus scutellatus scutellatus	Metazoa
B7ZS96	153	1	19	Xenopus laevis	Metazoa
C0HK27	291	1	28	Dioclea lasiophylla	Viridiplantae
C7F6X3	261	1	20	Leucosporidium sp. (strain AY30)	Fungi
C9K4X8	116	1	29	Patiria pectinifera	Metazoa
E3W9M2	502	1	30	Dianthus caryophyllus	Viridiplantae
F1RRV3	2692	1	19	Sus scrofa	Metazoa
G9I930	149	1	30	Micrurus tener tener	Metazoa
I3LGZ3	81	1	24	Sus scrofa	Metazoa
K9IMD0	708	1	19	Desmodus rotundus	Metazoa
O18330	432	1	19	Apis mellifera	Metazoa
O55245	150	1	20	Crocodylus porosus	Metazoa
O80323	222	1	22	Pyrus pyrifolia	Viridiplantae
P00624	138	1	16	Crotalus atrox	Metazoa
P00655	177	1	27	Aspergillus giganteus	Fungi
P01005	210	1	24	Gallus gallus	Metazoa
P01183	166	1	19	Sus scrofa	Metazoa
P01218	120	1	24	Ovis aries	Metazoa
P01235	144	1	27	Cyprinus carpio	Metazoa
P01274	180	1	20	Sus scrofa	Metazoa
P01492	87	1	19	Centruroides sculpturatus	Metazoa
P02648	266	1	18	Canis lupus familiaris	Metazoa
P02701	152	1	24	Gallus gallus	Metazoa
P02879	576	1	35	Ricinus communis	Viridiplantae
P04405	485	1	18	Glycine max	Viridiplantae
P04653	214	1	15	Ovis aries	Metazoa
P07221	395	1	28	Oryctolagus cuniculus	Metazoa
P08001	415	1	16	Sus scrofa	Metazoa
P08125	674	1	18	Gallus gallus	Metazoa
P08176	320	1	18	Dermatophagoides pteronyssinus	Metazoa
P08878	138	1	37	Crotalus durissus terrificus	Metazoa
P09230	454	1	15	Yarrowia lipolytica (strain CLIB 122 / E 150)	Fungi
P0DKL3	287	1	29	Maackia amurensis	Viridiplantae
P10297	313	1	22	Phytolacca americana	Viridiplantae
P11407	138	1	16	Vipera ammodytes ammodytes	Metazoa
P11936	284	1	22	Sus scrofa	Metazoa
P12670	247	1	21	Solanum lycopersicum	Viridiplantae
P12822	1310	1	33	Oryctolagus cuniculus	Metazoa
P15226	84	1	20	Tityus serrulatus	Metazoa
P18650	317	1	18	Sus scrofa	Metazoa
P19069	1742	1	19	Cavia porcellus	Metazoa
P19121	615	1	18	Gallus gallus	Metazoa
P19134	695	1	19	Oryctolagus cuniculus	Metazoa
P23028	152	1	19	Pseudonaja textilis	Metazoa
P24605	137	1	16	Bothrops asper	Metazoa
P24802	730	1	20	Gallus gallus	Metazoa
P26216	410	1	22	Zea mays	Viridiplantae
P28797	605	1	17	Cavia porcellus	Metazoa
P31100	138	1	16	Daboia siamensis	Metazoa
P31429	410	1	16	Oryctolagus cuniculus	Metazoa
P34745	200	1	22	Ictalurus punctatus	Metazoa
P56201	797	1	24	Oryctolagus cuniculus	Metazoa
P56637	94	1	18	Hottentotta judaicus	Metazoa
P60214	86	1	20	Tityus obscurus	Metazoa
P79762	437	1	20	Gallus gallus	Metazoa
P80325	96	1	23	Cavia porcellus	Metazoa
P81054	348	1	18	Grifola frondosa	Fungi
P81383	491	1	20	Ophiophagus hannah	Metazoa
P81446	564	1	33	Viscum album	Viridiplantae
P84516	362	1	31	Sorghum bicolor	Viridiplantae
Q01172	379	1	20	Aspergillus niger	Fungi
Q1RP78	138	1	16	Vipera nikolskii	Metazoa
Q1XG90	135	1	18	Crassostrea virginica	Metazoa
Q27082	673	1	19	Tachypleus tridentatus	Metazoa
Q29411	383	1	21	Sus scrofa	Metazoa
Q2ULM2	496	1	16	Aspergillus oryzae (strain ATCC 42149 / RIB 40)	Fungi
Q42369	449	1	33	Lupinus angustifolius	Viridiplantae
Q4W1I9	321	1	30	Zinnia elegans	Viridiplantae
Q5ECE3	201	1	16	Lonomia obliqua	Metazoa
Q6DWK3	248	1	26	Colletotrichum lindemuthianum	Fungi
Q6H3C8	138	1	16	Trimeresurus stejnegeri	Metazoa
Q6H3D0	138	1	16	Trimeresurus stejnegeri	Metazoa
Q6PSU2	172	1	21	Arachis hypogaea	Viridiplantae
Q6TGQ8	502	1	18	Bothrops moojeni	Metazoa
Q7ZTA6	138	1	16	Crotalus viridis viridis	Metazoa
Q800C4	138	1	16	Crotalus viridis viridis	Metazoa
Q86QT3	62	1	20	Centruroides noxius	Metazoa
Q8AXY1	138	1	16	Bothrops jararacussu	Metazoa
Q8I0L5	59	1	22	Olivierus martensii	Metazoa
Q90W39	138	1	16	Protobothrops mucrosquamatus	Metazoa
Q9C0Y4	969	1	24	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi
Q9FSH9	452	1	33	Lupinus albus	Viridiplantae
Q9GKK3	241	1	15	Equus caballus	Metazoa
Q9NBG9	59	1	22	Olivierus martensii	Metazoa
Q9PTT2	225	1	19	Lepidobatrachus laevis	Metazoa
Q9PVF4	137	1	16	Calloselasma rhodostoma	Metazoa
Q9XXV0	441	1	21	Bombyx mori	Metazoa
Q9YH85	2120	1	24	Gallus gallus	Metazoa
Q9ZT64	513	1	23	Pinus contorta	Viridiplantae
U3FAE1	84	1	21	Micrurus fulvius	Metazoa
A0A0A1I6E7	74	1	22	Androctonus crassicauda	Metazoa
A0A0A1I6N9	74	1	22	Androctonus crassicauda	Metazoa
A0A1L6K371	510	1	23	Juglans nigra	Viridiplantae
A0A2L0ART2	76	1	23	Scolopendra mutilans	Metazoa
A0A482A9N4	328	1	21	Talaromyces verruculosus	Fungi
A0A8U0WQF3	684	1	21	Apis mellifera	Metazoa
A3RF67	547	1	31	Dalbergia nigrescens	Viridiplantae
B0XT72	452	1	19	Aspergillus fumigatus (strain CBS 144.89 / FGSC A1163 / CEA10)	Fungi
B8AL97	470	1	34	Oryza sativa subsp. indica	Viridiplantae
C0HKC3	139	1	16	Agkistrodon piscivorus leucostoma	Metazoa
E0D877	564	1	25	Aedes albopictus	Metazoa
I1SB12	495	1	22	Microdochium nivale	Fungi
I2C090	1641	1	22	Ophiophagus hannah	Metazoa
O02839	363	1	44	Sus scrofa	Metazoa
O42414	1369	1	25	Gallus gallus	Metazoa
O46166	68	1	17	Eratigena agrestis	Metazoa
O61668	88	1	18	Olivierus martensii	Metazoa
P00433	353	1	30	Armoracia rusticana	Viridiplantae
P00615	145	1	27	Oxyuranus scutellatus scutellatus	Metazoa
P00703	147	1	18	Meleagris gallopavo	Metazoa
P00713	142	1	19	Cavia porcellus	Metazoa
P00791	385	1	15	Sus scrofa	Metazoa
P01231	141	1	20	Ovis aries	Metazoa
P01329	110	1	24	Cavia porcellus	Metazoa
P01500	46	1	27	Apis mellifera	Metazoa
P02703	112	1	17	Sus scrofa	Metazoa
P04002	82	1	23	Pseudopleuronectes americanus	Metazoa
P04058	586	1	21	Tetronarce californica	Metazoa
P06859	138	1	16	Protobothrops flavoviridis	Metazoa
P0DKR6	78	1	21	Dendroaspis polylepis polylepis	Metazoa
P0DKU2	145	1	15	Pandinus imperator	Metazoa
P11941	144	1	15	Oncorhynchus mykiss	Metazoa
P12387	1666	1	22	Cavia porcellus	Metazoa
P12637	410	1	19	Canis lupus familiaris	Metazoa
P17715	109	1	24	Octodon degus	Metazoa
P22394	563	1	19	Geotrichum candidum	Fungi
P22770	502	1	23	Gallus gallus	Metazoa
P23472	311	1	26	Hevea brasiliensis	Viridiplantae
