Accession	Organism	Kingdom	Sequence length	transmembrane_term
Q8BUX5	455	Mus musculus	Metazoa	True
Q8C8S3	249	Mus musculus	Metazoa	True
Q8CGK7	381	Mus musculus	Metazoa	False
Q8IS16	604	Dictyostelium discoideum	Amoebozoa	False
Q8K2P7	485	Mus musculus	Metazoa	True
Q8K3P1	485	Mus musculus	Metazoa	False
Q8K415	481	Rattus norvegicus	Metazoa	True
Q8K4D3	475	Mus musculus	Metazoa	True
Q8L796	754	Arabidopsis thaliana	Viridiplantae	False
Q8R456	474	Rattus norvegicus	Metazoa	False
Q8R502	803	Mus musculus	Metazoa	False
Q8RX77	620	Arabidopsis thaliana	Viridiplantae	True
Q8VFT4	313	Mus musculus	Metazoa	False
Q8W4L3	489	Arabidopsis thaliana	Viridiplantae	False
Q91VH1	375	Mus musculus	Metazoa	False
Q925H0	512	Mus musculus	Metazoa	True
Q93V47	100	Arabidopsis thaliana	Viridiplantae	False
Q93YN1	390	Arabidopsis thaliana	Viridiplantae	False
Q94JQ6	1084	Arabidopsis thaliana	Viridiplantae	False
Q9D3A9	450	Mus musculus	Metazoa	False
Q9ES07	729	Mus musculus	Metazoa	True
Q9JIF3	477	Mus musculus	Metazoa	False
Q9JJK1	265	Rattus norvegicus	Metazoa	True
Q9JK45	933	Mus musculus	Metazoa	False
Q9JKA9	863	Rattus norvegicus	Metazoa	False
Q9LFP7	493	Arabidopsis thaliana	Viridiplantae	False
Q9LZF1	392	Arabidopsis thaliana	Viridiplantae	False
Q9SF86	418	Arabidopsis thaliana	Viridiplantae	False
Q9SRH7	490	Arabidopsis thaliana	Viridiplantae	False
Q9Z0D9	354	Mus musculus	Metazoa	False
Q9Z258	1239	Rattus norvegicus	Metazoa	False
A0A2P1GIW2	330	Catharanthus roseus	Viridiplantae	False
P02240	154	Lupinus luteus	Viridiplantae	False
Q6NUA1	633	Xenopus laevis	Metazoa	False
A0A061ACU2	2442	Caenorhabditis elegans	Metazoa	False
A1A5H8	546	Danio rerio	Metazoa	False
A3BF39	1067	Oryza sativa subsp. japonica	Viridiplantae	False
B1AWN6	2006	Mus musculus	Metazoa	False
D3K0R6	1207	Bos taurus	Metazoa	False
E1BF86	512	Bos taurus	Metazoa	True
E7FFT2	916	Danio rerio	Metazoa	False
F1QC45	376	Danio rerio	Metazoa	False
G5EBN9	600	Caenorhabditis elegans	Metazoa	False
G5EF48	350	Caenorhabditis elegans	Metazoa	True
O08590	763	Rattus norvegicus	Metazoa	False
O35240	533	Rattus norvegicus	Metazoa	True
O82587	285	Arabidopsis thaliana	Viridiplantae	False
O88420	1978	Rattus norvegicus	Metazoa	False
P15384	525	Rattus norvegicus	Metazoa	False
P16390	528	Mus musculus	Metazoa	False
P18762	418	Mus musculus	Metazoa	False
P26431	820	Rattus norvegicus	Metazoa	False
P28236	440	Mus musculus	Metazoa	True
P29414	416	Rattus norvegicus	Metazoa	True
P31643	621	Rattus norvegicus	Metazoa	False
P31647	627	Rattus norvegicus	Metazoa	False
P32851	288	Rattus norvegicus	Metazoa	False
P33535	398	Rattus norvegicus	Metazoa	False
P34226	696	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P35561	428	Mus musculus	Metazoa	False
P39002	694	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P42838	414	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	True
P47196	480	Rattus norvegicus	Metazoa	False
P49653	472	Rattus norvegicus	Metazoa	False
P49654	397	Rattus norvegicus	Metazoa	False
P51638	151	Rattus norvegicus	Metazoa	False
P51907	523	Rattus norvegicus	Metazoa	True
P53986	493	Mus musculus	Metazoa	False
P55926	526	Rattus norvegicus	Metazoa	True
P56564	543	Mus musculus	Metazoa	False
P63115	530	Mus musculus	Metazoa	True
P93758	274	Arabidopsis thaliana	Viridiplantae	False
P98197	1187	Mus musculus	Metazoa	True
Q02013	269	Mus musculus	Metazoa	False
Q06598	404	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	True
Q10R09	310	Oryza sativa subsp. japonica	Viridiplantae	False
Q38919	195	Arabidopsis thaliana	Viridiplantae	False
Q3KRC6	795	Rattus norvegicus	Metazoa	False
Q498T9	803	Rattus norvegicus	Metazoa	False
Q4LDG0	689	Mus musculus	Metazoa	True
Q4V8K1	470	Rattus norvegicus	Metazoa	False
Q5QF96	384	Bos taurus	Metazoa	True
Q5U308	858	Rattus norvegicus	Metazoa	False
Q60754	518	Mus musculus	Metazoa	False
Q61410	762	Mus musculus	Metazoa	False
Q672J9	568	Mus musculus	Metazoa	True
Q794F9	527	Rattus norvegicus	Metazoa	False
Q7M750	143	Mus musculus	Metazoa	True
Q7Z020	1197	Drosophila melanogaster	Metazoa	False
Q80YF9	1305	Mus musculus	Metazoa	False
Q84VQ1	283	Arabidopsis thaliana	Viridiplantae	False
Q8BGR2	859	Mus musculus	Metazoa	False
Q8C9E8	313	Mus musculus	Metazoa	False
Q8CBX0	802	Mus musculus	Metazoa	False
Q8CFE6	504	Mus musculus	Metazoa	True
Q8CJC7	226	Mus musculus	Metazoa	False
Q8VC04	261	Mus musculus	Metazoa	False
Q8VCM2	349	Mus musculus	Metazoa	False
Q9C6W5	648	Arabidopsis thaliana	Viridiplantae	False
Q9JIP0	723	Rattus norvegicus	Metazoa	False
Q9JIP4	426	Mus musculus	Metazoa	True
Q9JKA7	1198	Rattus norvegicus	Metazoa	False
Q9JL56	331	Mus musculus	Metazoa	True
Q9LSE1	432	Arabidopsis thaliana	Viridiplantae	False
Q9M8S2	558	Arabidopsis thaliana	Viridiplantae	False
Q9S7Z8	640	Arabidopsis thaliana	Viridiplantae	False
Q9VJN5	470	Drosophila melanogaster	Metazoa	False
Q9W0S9	1773	Drosophila melanogaster	Metazoa	False
Q9WTW8	647	Rattus norvegicus	Metazoa	False
Q9XEA1	772	Arabidopsis thaliana	Viridiplantae	False
Q9Z218	804	Mus musculus	Metazoa	False
P40471	297	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q9CRB9	227	Mus musculus	Metazoa	False
Q2TBE6	479	Mus musculus	Metazoa	False
Q9JKL5	214	Mus musculus	Metazoa	False
O17072	232	Caenorhabditis elegans	Metazoa	False
P15348	1447	Drosophila melanogaster	Metazoa	False
P38170	754	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P62804	103	Rattus norvegicus	Metazoa	False
Q21209	702	Caenorhabditis elegans	Metazoa	False
Q4Z8K6	962	Drosophila melanogaster	Metazoa	False
Q9CQJ4	336	Mus musculus	Metazoa	False
Q9D995	334	Mus musculus	Metazoa	False
Q9V629	384	Drosophila melanogaster	Metazoa	False
Q9VK34	823	Drosophila melanogaster	Metazoa	False
Q9W148	731	Drosophila melanogaster	Metazoa	False
Q9JHL4	436	Rattus norvegicus	Metazoa	False
Q84JF5	483	Arabidopsis thaliana	Viridiplantae	False
P46062	1037	Mus musculus	Metazoa	False
P46822	540	Caenorhabditis elegans	Metazoa	False
P48999	674	Mus musculus	Metazoa	False
P53996	178	Mus musculus	Metazoa	False
Q500U8	326	Arabidopsis thaliana	Viridiplantae	False
Q9DBR0	687	Mus musculus	Metazoa	False
Q9LYE4	344	Arabidopsis thaliana	Viridiplantae	False
D3ZVU9	299	Rattus norvegicus	Metazoa	False
P32830	109	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P38228	572	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P10824	354	Rattus norvegicus	Metazoa	False
P25809	418	Rattus norvegicus	Metazoa	False
P46943	645	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P53722	227	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P99028	89	Mus musculus	Metazoa	False
Q01519	83	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q8BMP6	525	Mus musculus	Metazoa	False
Q9CZ13	480	Mus musculus	Metazoa	False
Q9D6J6	248	Mus musculus	Metazoa	False
Q9DCT2	263	Mus musculus	Metazoa	False
P19516	300	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	True
O13525	335	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P00127	147	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P00829	528	Bos taurus	Metazoa	False
P07257	368	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P30275	418	Mus musculus	Metazoa	False
P32335	436	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P41735	233	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P47025	714	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P53230	385	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P53264	445	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P97478	217	Mus musculus	Metazoa	False
Q8K3J1	212	Mus musculus	Metazoa	False
Q91YT0	464	Mus musculus	Metazoa	False
Q9CQY6	136	Mus musculus	Metazoa	False
Q9DB77	453	Mus musculus	Metazoa	False
Q9ZPX5	632	Arabidopsis thaliana	Viridiplantae	False
D3ZUA0	338	Rattus norvegicus	Metazoa	False
P00128	127	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P04037	155	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P0C089	193	Rattus norvegicus	Metazoa	False
P18886	658	Rattus norvegicus	Metazoa	False
P21801	266	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P32344	111	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P36130	643	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P38323	520	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P42844	174	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P49017	307	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P54861	757	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q8LBZ7	279	Arabidopsis thaliana	Viridiplantae	False
Q9DC70	224	Mus musculus	Metazoa	False
Q9JJG9	693	Mus musculus	Metazoa	False
Q9SKT7	582	Arabidopsis thaliana	Viridiplantae	False
P32944	819	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q0WVR4	345	Arabidopsis thaliana	Viridiplantae	False
Q9JLV5	768	Mus musculus	Metazoa	False
Q23243	845	Caenorhabditis elegans	Metazoa	False
A0A5E4M3Q4	554	Caenorhabditis elegans	Metazoa	False
A1L1K8	411	Rattus norvegicus	Metazoa	False
D2EAC2	980	Mus musculus	Metazoa	False
E9PVX6	3177	Mus musculus	Metazoa	False
F4KDN0	857	Arabidopsis thaliana	Viridiplantae	False
G5EEW6	427	Caenorhabditis elegans	Metazoa	False
O35144	541	Mus musculus	Metazoa	False
O35491	499	Mus musculus	Metazoa	False
O54825	436	Mus musculus	Metazoa	False
O64817	333	Arabidopsis thaliana	Viridiplantae	False
O70372	1122	Mus musculus	Metazoa	False
P25443	254	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P32914	102	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P39516	138	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P40167	298	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P40541	1150	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P41777	704	Rattus norvegicus	Metazoa	False
P48240	250	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P51521	1351	Drosophila melanogaster	Metazoa	False
P60824	172	Mus musculus	Metazoa	False
P70281	254	Mus musculus	Metazoa	False
P70451	823	Mus musculus	Metazoa	False
P90916	417	Caenorhabditis elegans	Metazoa	False
Q03957	528	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q12277	265	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q12754	1228	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q39172	345	Arabidopsis thaliana	Viridiplantae	False
Q41188	203	Arabidopsis thaliana	Viridiplantae	False
Q5YDB6	967	Arabidopsis thaliana	Viridiplantae	False
Q680Q4	884	Arabidopsis thaliana	Viridiplantae	False
Q6NME7	127	Arabidopsis thaliana	Viridiplantae	False
Q6Q4D0	1311	Arabidopsis thaliana	Viridiplantae	False
Q7K4V4	244	Drosophila melanogaster	Metazoa	False
Q8C5S7	591	Mus musculus	Metazoa	False
Q8CGB3	1411	Mus musculus	Metazoa	False
Q8L3X8	262	Arabidopsis thaliana	Viridiplantae	False
Q8R0S1	413	Mus musculus	Metazoa	False
Q920Q8	642	Mus musculus	Metazoa	False
Q940Z2	724	Arabidopsis thaliana	Viridiplantae	False
Q95RV2	345	Drosophila melanogaster	Metazoa	False
Q9CW03	1217	Mus musculus	Metazoa	False
Q9D708	124	Mus musculus	Metazoa	False
Q9FIE3	620	Arabidopsis thaliana	Viridiplantae	False
Q9FJW5	299	Arabidopsis thaliana	Viridiplantae	False
Q9FR37	425	Arabidopsis thaliana	Viridiplantae	False
Q9JIY2	491	Mus musculus	Metazoa	False
Q9VRP5	1038	Drosophila melanogaster	Metazoa	False
Q9ZVD0	720	Arabidopsis thaliana	Viridiplantae	False
P47999	392	Arabidopsis thaliana	Viridiplantae	False
P28321	313	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q9SE83	914	Arabidopsis thaliana	Viridiplantae	False
P46561	538	Caenorhabditis elegans	Metazoa	False
Q6PDS3	724	Mus musculus	Metazoa	False
P52296	875	Rattus norvegicus	Metazoa	False
P91276	531	Caenorhabditis elegans	Metazoa	False
Q00899	414	Mus musculus	Metazoa	False
Q5BJY9	423	Rattus norvegicus	Metazoa	False
Q99K23	461	Mus musculus	Metazoa	False
Q9FFB6	291	Arabidopsis thaliana	Viridiplantae	False
Q9QXJ1	710	Mus musculus	Metazoa	False
P36060	302	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	True
P67999	525	Rattus norvegicus	Metazoa	False
O70585	659	Mus musculus	Metazoa	False
O80983	717	Arabidopsis thaliana	Viridiplantae	False
P83006	390	Rattus norvegicus	Metazoa	False
Q05776	175	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q99LY9	106	Mus musculus	Metazoa	False
P62827	216	Mus musculus	Metazoa	False
Q3UHK6	2771	Mus musculus	Metazoa	False
Q8LDS4	319	Arabidopsis thaliana	Viridiplantae	False
Q8R326	523	Mus musculus	Metazoa	False
Q8RWR1	429	Arabidopsis thaliana	Viridiplantae	False
Q9LKG8	451	Arabidopsis thaliana	Viridiplantae	False
Q9SGZ8	162	Arabidopsis thaliana	Viridiplantae	False
Q9SXZ2	175	Arabidopsis thaliana	Viridiplantae	False
A7VJC2	353	Rattus norvegicus	Metazoa	False
F4HT77	363	Arabidopsis thaliana	Viridiplantae	False
O35914	961	Mus musculus	Metazoa	False
O35942	443	Mus musculus	Metazoa	False
O54781	681	Mus musculus	Metazoa	False
O55135	245	Mus musculus	Metazoa	False
O97593	1233	Bos taurus	Metazoa	False
P06367	137	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P0DOV2	619	Mus musculus	Metazoa	False
P11101	114	Rattus norvegicus	Metazoa	False
P25359	394	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P34341	821	Caenorhabditis elegans	Metazoa	False
P35194	2493	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P35201	549	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P35203	478	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P36012	229	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P38110	2787	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P38236	366	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P38766	723	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P38861	518	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P39706	426	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P40089	93	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P40340	1379	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P56198	239	Mus musculus	Metazoa	False
P91399	926	Caenorhabditis elegans	Metazoa	False
Q04437	629	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q08962	181	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q08965	1183	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q12188	680	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q2PS26	584	Arabidopsis thaliana	Viridiplantae	False
Q61214	763	Mus musculus	Metazoa	False
Q62018	1173	Mus musculus	Metazoa	False
Q7TMF2	345	Mus musculus	Metazoa	False
Q7TQD2	218	Mus musculus	Metazoa	False
Q810M6	228	Mus musculus	Metazoa	False
Q84TH4	382	Arabidopsis thaliana	Viridiplantae	False
Q8C3P7	580	Mus musculus	Metazoa	False
Q8GZB6	624	Arabidopsis thaliana	Viridiplantae	False
Q8S9G8	801	Arabidopsis thaliana	Viridiplantae	False
Q8VYA5	290	Arabidopsis thaliana	Viridiplantae	False
Q99MR6	875	Mus musculus	Metazoa	False
Q99PV0	2335	Mus musculus	Metazoa	False
Q9C5J3	946	Arabidopsis thaliana	Viridiplantae	False
Q9CQ20	182	Mus musculus	Metazoa	False
Q9CU62	1233	Mus musculus	Metazoa	False
Q9FMY5	283	Arabidopsis thaliana	Viridiplantae	False
Q9LNC5	987	Arabidopsis thaliana	Viridiplantae	False
Q9LTJ1	225	Arabidopsis thaliana	Viridiplantae	False
Q9S709	296	Arabidopsis thaliana	Viridiplantae	False
Q9SU05	382	Arabidopsis thaliana	Viridiplantae	False
Q9VVR6	196	Drosophila melanogaster	Metazoa	False
Q9XZ34	1416	Drosophila melanogaster	Metazoa	False
P0DP99	47	Mus musculus	Metazoa	True
Q9CR61	137	Mus musculus	Metazoa	False
A1A6M1	387	Arabidopsis thaliana	Viridiplantae	False
P10896	474	Arabidopsis thaliana	Viridiplantae	False
Q1H5E9	397	Arabidopsis thaliana	Viridiplantae	False
Q8GWA2	273	Arabidopsis thaliana	Viridiplantae	False
P53620	874	Bos taurus	Metazoa	False
Q38882	810	Arabidopsis thaliana	Viridiplantae	False
P45951	536	Arabidopsis thaliana	Viridiplantae	False
Q9SJU4	399	Arabidopsis thaliana	Viridiplantae	False
B8ZXI1	415	Mus musculus	Metazoa	False
P38279	296	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	True
Q8VE01	188	Mus musculus	Metazoa	False
P04764	434	Rattus norvegicus	Metazoa	False
P21146	689	Bos taurus	Metazoa	False
P41047	279	Mus musculus	Metazoa	False
P41241	450	Mus musculus	Metazoa	False
P49027	334	Oryza sativa subsp. japonica	Viridiplantae	False
P52174	152	Bos taurus	Metazoa	False
P52175	152	Bos taurus	Metazoa	False
Q09406	534	Caenorhabditis elegans	Metazoa	False
Q0JHU5	159	Oryza sativa subsp. japonica	Viridiplantae	False
Q80SY4	1006	Mus musculus	Metazoa	False
Q8MPP0	245	Drosophila melanogaster	Metazoa	False
Q9FHK4	615	Arabidopsis thaliana	Viridiplantae	False
Q9QXK9	374	Mus musculus	Metazoa	False
A8MQY1	473	Arabidopsis thaliana	Viridiplantae	False
A1A6H3	379	Arabidopsis thaliana	Viridiplantae	False
P31170	227	Arabidopsis thaliana	Viridiplantae	False
Q944G9	398	Arabidopsis thaliana	Viridiplantae	False
A0A096MJY4	473	Rattus norvegicus	Metazoa	False
B7Z0L8	178	Drosophila melanogaster	Metazoa	False
O08816	501	Rattus norvegicus	Metazoa	False
O49570	650	Arabidopsis thaliana	Viridiplantae	False
P0CX37	236	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P0CX38	236	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P14733	588	Mus musculus	Metazoa	False
P21619	596	Mus musculus	Metazoa	False
P42698	387	Arabidopsis thaliana	Viridiplantae	False
P46948	246	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P53256	223	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P53859	292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P59169	136	Arabidopsis thaliana	Viridiplantae	False
P60710	375	Mus musculus	Metazoa	False
P63166	101	Mus musculus	Metazoa	False
P70122	250	Mus musculus	Metazoa	False
P92965	350	Arabidopsis thaliana	Viridiplantae	False
P92966	356	Arabidopsis thaliana	Viridiplantae	False
P97868	1790	Mus musculus	Metazoa	False
Q02457	562	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q05636	305	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q06163	884	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q12386	881	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q27268	424	Drosophila melanogaster	Metazoa	False
Q3MJK5	1484	Rattus norvegicus	Metazoa	False
Q5SUQ9	1212	Mus musculus	Metazoa	False
Q6AYD3	394	Rattus norvegicus	Metazoa	False
Q6ZWS8	374	Mus musculus	Metazoa	False
Q811H0	420	Mus musculus	Metazoa	False
Q8C5D8	621	Mus musculus	Metazoa	False
Q8CHK4	513	Mus musculus	Metazoa	False
Q8VY74	333	Arabidopsis thaliana	Viridiplantae	False
Q8W4B1	652	Arabidopsis thaliana	Viridiplantae	False
Q91XC0	547	Mus musculus	Metazoa	False
Q99216	274	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q99MU3	1178	Mus musculus	Metazoa	False
Q9CXW4	178	Mus musculus	Metazoa	False
Q9FJH5	283	Arabidopsis thaliana	Viridiplantae	False
Q9LV58	148	Arabidopsis thaliana	Viridiplantae	False
Q9R0U0	262	Mus musculus	Metazoa	False
Q9VR56	319	Drosophila melanogaster	Metazoa	False
Q9W252	1318	Drosophila melanogaster	Metazoa	False
Q9W4S7	717	Drosophila melanogaster	Metazoa	False
P08011	155	Rattus norvegicus	Metazoa	True
Q86PC9	460	Drosophila melanogaster	Metazoa	False
D3ZER2	416	Rattus norvegicus	Metazoa	False
P01872	454	Mus musculus	Metazoa	False
P57752	92	Arabidopsis thaliana	Viridiplantae	False
Q0E4K1	492	Oryza sativa subsp. japonica	Viridiplantae	False
Q3TBL6	204	Mus musculus	Metazoa	False
Q8BTM9	673	Mus musculus	Metazoa	False
Q8C2K1	630	Mus musculus	Metazoa	False
Q9SS80	685	Arabidopsis thaliana	Viridiplantae	False
O04492	419	Arabidopsis thaliana	Viridiplantae	False
O13516	197	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
O22781	651	Arabidopsis thaliana	Viridiplantae	False
O70576	1240	Mus musculus	Metazoa	False
P05755	195	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P26786	190	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P29539	1916	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P32479	840	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P38792	359	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P50463	194	Rattus norvegicus	Metazoa	False
P53927	220	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q03427	621	Drosophila melanogaster	Metazoa	False
Q08285	240	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q12366	352	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q12522	245	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q1LZ24	586	Drosophila melanogaster	Metazoa	False
Q24168	618	Drosophila melanogaster	Metazoa	False
Q24434	479	Drosophila melanogaster	Metazoa	False
Q39024	376	Arabidopsis thaliana	Viridiplantae	False
Q3TSG4	395	Mus musculus	Metazoa	False
Q61687	2476	Mus musculus	Metazoa	False
Q63470	763	Rattus norvegicus	Metazoa	False
Q6AYJ4	593	Rattus norvegicus	Metazoa	False
Q6AZ28	572	Rattus norvegicus	Metazoa	False
Q6PR54	2419	Mus musculus	Metazoa	False
Q6T264	1020	Mus musculus	Metazoa	False
Q8BJ05	735	Mus musculus	Metazoa	False
Q8K2X3	378	Mus musculus	Metazoa	False
Q8K330	649	Mus musculus	Metazoa	False
Q8VIM5	935	Mus musculus	Metazoa	False
Q8VWK4	300	Arabidopsis thaliana	Viridiplantae	False
Q91VJ5	263	Mus musculus	Metazoa	False
Q920F6	1248	Mus musculus	Metazoa	False
Q9DA19	450	Mus musculus	Metazoa	False
Q9FGW5	612	Arabidopsis thaliana	Viridiplantae	False
Q9FHW2	171	Arabidopsis thaliana	Viridiplantae	False
Q9LHP2	262	Arabidopsis thaliana	Viridiplantae	False
Q9LJ97	262	Arabidopsis thaliana	Viridiplantae	False
Q9LU44	804	Arabidopsis thaliana	Viridiplantae	False
Q9LVB9	172	Arabidopsis thaliana	Viridiplantae	False
Q9M0K4	283	Arabidopsis thaliana	Viridiplantae	False
Q9NJH0	431	Drosophila melanogaster	Metazoa	False
Q9R1Q2	527	Rattus norvegicus	Metazoa	False
Q9VTZ2	214	Drosophila melanogaster	Metazoa	False
Q9VV73	841	Drosophila melanogaster	Metazoa	False
Q9VW51	1059	Drosophila melanogaster	Metazoa	False
Q9W261	775	Drosophila melanogaster	Metazoa	False
Q9Z2F5	430	Rattus norvegicus	Metazoa	False
Q9SAR5	342	Arabidopsis thaliana	Viridiplantae	False
Q9R0N7	403	Mus musculus	Metazoa	True
Q05860	1466	Mus musculus	Metazoa	False
A2AIV2	1811	Mus musculus	Metazoa	False
B4XT64	582	Oryza sativa subsp. japonica	Viridiplantae	False
O17850	317	Caenorhabditis elegans	Metazoa	False
O80653	613	Arabidopsis thaliana	Viridiplantae	False
O81127	187	Arabidopsis thaliana	Viridiplantae	False
P21691	654	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P32526	644	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P32807	602	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P33201	236	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P35875	994	Drosophila melanogaster	Metazoa	False
P36104	329	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P38333	483	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P41833	600	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P45975	635	Drosophila melanogaster	Metazoa	False
P46963	296	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P48164	190	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P83870	110	Mus musculus	Metazoa	False
P97481	874	Mus musculus	Metazoa	False
Q04002	1493	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q05344	723	Drosophila melanogaster	Metazoa	False
Q07381	788	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q11184	425	Caenorhabditis elegans	Metazoa	False
